sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,asphalt,brick,transition
1,1775669099648,-3699,-631,14434,3226590,277332,886976,0,0,0,439,361,244,378,310,450,235,158,394,188,129,449,0,,,
2,1775669099648,1521,2316,9834,-219911,-398284,7330,0,0,0,423,473,330,391,379,393,495,438,280,243,235,282,0,,,
1,1775669099664,-3742,-856,15462,3610213,313984,957836,0,0,0,443,350,223,379,284,429,245,151,371,176,116,394,0,,,
2,1775669099664,1249,2459,9925,-189368,-371406,1221,0,0,0,423,474,326,394,381,394,495,436,280,251,238,290,0,,,
1,1775669099680,-3881,-1129,16357,4036597,361632,1007927,0,0,0,401,356,206,395,300,416,237,157,364,181,127,330,0,,,
2,1775669099680,1148,2541,9901,-119729,-266337,-1221,0,0,0,432,484,343,396,381,398,507,446,288,250,238,291,0,,,
1,1775669099696,-4656,-1493,16625,4440990,516791,1088561,0,0,0,354,346,200,373,279,390,232,164,355,183,135,302,0,,,
2,1775669099696,1220,2536,9748,-90408,-197920,0,0,0,0,436,490,340,396,386,399,504,449,283,249,247,291,0,,,
1,1775669099712,-5900,-1416,16429,4796513,668286,1268156,0,0,0,365,339,213,361,274,360,248,177,336,198,154,285,0,,,
2,1775669099712,1239,2507,9633,-84299,-167377,0,0,0,0,433,487,339,398,388,403,508,462,287,247,258,292,0,,,
1,1775669099728,-5843,-1095,16290,5076290,800233,1475850,0,0,0,316,336,212,317,262,328,257,195,318,202,182,248,0,,,
2,1775669099728,1191,2541,9652,-86742,-150272,0,0,0,0,435,490,339,402,390,409,517,462,295,255,257,301,0,,,
1,1775669099744,-5226,-1325,15912,5263214,1092227,1620014,0,0,0,279,302,211,286,218,307,276,213,298,202,206,208,0,,,
2,1775669099744,1186,2641,9729,-50090,-111177,0,0,0,0,434,489,338,407,398,412,517,460,299,264,264,304,0,,,
1,1775669099760,-5546,-1742,14017,5279097,1616349,1681101,0,0,0,267,264,205,275,177,273,305,223,268,212,230,161,0,,,
2,1775669099760,1225,2723,9772,19547,-81855,-2443,0,0,0,438,490,339,405,397,409,515,456,298,267,269,308,0,,,
1,1775669099776,-5996,-674,11227,5057964,2076941,1705535,0,0,0,264,251,201,276,162,255,321,226,252,219,244,137,0,,,
2,1775669099776,1249,2703,9786,101403,-75747,-12217,0,0,0,440,491,344,406,395,411,514,454,297,270,271,318,0,,,
1,1775669099792,-7748,3905,8868,4191757,2167349,1539380,0,0,0,263,256,203,282,163,261,322,225,254,220,243,140,0,,,
2,1775669099792,1210,2584,9734,138055,-68416,-19547,0,0,0,442,492,350,408,394,415,515,453,297,273,271,326,0,,,
1,1775669099808,-9810,9772,8624,2124589,1374446,950506,0,0,0,264,259,203,278,173,256,325,225,254,225,238,142,0,,,
2,1775669099808,1206,2526,9710,129503,-53756,-21991,0,0,0,451,497,360,408,392,416,516,450,299,273,267,331,0,,,
1,1775669099824,-7815,10964,9485,-893084,366519,-94073,0,0,0,260,262,206,265,193,251,329,231,259,228,239,143,0,,,
2,1775669099824,1229,2536,9758,111177,-37873,-23212,0,0,0,457,503,365,411,394,422,514,448,301,272,263,337,0,,,
1,1775669099840,-6087,7331,8092,-2548529,256563,-695164,0,0,0,246,265,212,271,169,266,329,238,269,224,244,147,0,,,
2,1775669099840,1244,2541,9782,106290,-21991,-26878,0,0,0,455,503,356,416,401,433,515,449,305,269,260,341,0,,,
1,1775669099856,-6211,3201,5441,-2834414,257785,-541226,0,0,0,242,267,212,277,169,268,331,237,271,224,245,145,0,,,
2,1775669099856,1249,2502,9729,103847,-9773,-31764,0,0,0,458,507,358,417,405,432,520,455,312,267,262,340,0,,,
1,1775669099872,-4742,3172,5455,-2955366,-211359,-124616,0,0,0,252,270,207,293,173,264,337,237,264,229,238,141,0,,,
2,1775669099872,1234,2464,9662,91629,0,-32986,0,0,0,453,505,353,416,407,431,516,447,313,266,242,343,0,,,
1,1775669099888,-2397,4297,6858,-3458718,-364075,-135612,0,0,0,241,270,210,279,180,272,329,237,267,228,246,144,0,,,
2,1775669099888,1225,2445,9629,75747,3665,-35430,0,0,0,456,510,353,412,401,425,447,414,322,256,228,337,0,,,
1,1775669099904,-2086,4637,7738,-4148996,-290771,-511905,0,0,0,238,271,209,279,177,274,328,238,269,229,247,145,0,,,
2,1775669099904,1234,2483,9633,75747,6108,-37873,0,0,0,456,513,349,418,404,429,511,438,313,264,232,345,0,,,
1,1775669099920,-2368,4015,8121,-4621806,-568104,-689055,0,0,0,238,272,211,277,182,275,330,241,274,232,250,147,0,,,
2,1775669099920,1268,2512,9648,89186,3665,-40317,0,0,0,452,507,349,418,407,437,516,440,317,261,233,345,0,,,
1,1775669099936,-1660,2866,8930,-4840496,-1095892,-608421,0,0,0,238,271,212,279,178,276,332,236,277,232,247,148,0,,,
2,1775669099936,1296,2483,9638,101403,-4886,-43982,0,0,0,452,509,347,418,409,436,500,433,319,255,226,342,0,,,
1,1775669099952,-138,2100,10370,-4866152,-1400103,-431270,0,0,0,236,271,212,281,174,279,333,235,282,234,248,147,0,,,
2,1775669099952,1301,2426,9600,90408,-24434,-43982,0,0,0,448,510,347,418,412,439,508,435,317,258,224,345,0,,,
1,1775669099968,1387,1588,11969,-4908913,-1492954,-250454,0,0,0,235,272,213,277,174,279,331,237,286,233,250,149,0,,,
2,1775669099968,1316,2426,9609,81855,-52534,-43982,0,0,0,448,511,346,420,413,443,517,437,322,262,225,353,0,,,
1,1775669099984,2526,1134,13428,-4959004,-1372003,-24434,0,0,0,236,273,216,275,170,280,333,235,289,239,248,152,0,,,
2,1775669099984,1296,2459,9662,89186,-72082,-42760,0,0,0,447,515,346,421,412,444,517,434,324,263,224,358,0,,,
1,1775669100000,3560,478,14749,-4957782,-1264491,226020,0,0,0,236,270,217,277,168,283,338,234,291,247,242,151,0,,,
