sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,concrete
1,1775671254000,-2067,804,9696,18325,-36651,8552,0,0,0,348,362,297,395,241,412,536,424,377,374,392,299,0,
1,1775671254016,-2062,799,9700,17104,-35430,8552,0,0,0,345,360,297,398,244,417,534,424,378,376,393,304,0,
2,1775671254016,1229,1028,9911,23212,-61086,-14660,0,0,0,444,500,366,446,401,488,565,500,365,244,212,373,0,
1,1775671254032,-2062,799,9715,14660,-35430,8552,0,0,0,345,359,296,398,244,418,533,423,377,376,393,305,0,
2,1775671254032,1229,1024,9906,20769,-57421,-14660,0,0,0,445,501,370,443,397,484,565,501,364,242,213,373,0,
1,1775671254048,-2062,808,9719,14660,-36651,8552,0,0,0,345,359,295,394,239,413,533,423,376,374,392,302,0,
2,1775671254048,1220,1019,9916,20769,-56199,-14660,0,0,0,445,500,367,446,398,485,563,498,362,243,212,372,0,
1,1775671254064,-2072,808,9724,14660,-35430,8552,0,0,0,345,361,297,395,241,413,533,422,375,373,391,301,0,
2,1775671254064,1215,1019,9920,20769,-56199,-14660,0,0,0,443,499,364,444,397,484,564,499,363,244,212,372,0,
1,1775671254080,-2077,804,9724,14660,-35430,8552,0,0,0,346,361,298,396,242,414,534,422,376,375,392,303,0,
2,1775671254080,1225,1014,9920,21991,-57421,-14660,0,0,0,443,501,366,442,395,484,566,500,365,245,214,375,0,
1,1775671254096,-2072,813,9719,15882,-35430,8552,0,0,0,347,362,298,394,242,414,537,426,379,373,390,300,0,
2,1775671254096,1225,1014,9920,23212,-57421,-14660,0,0,0,445,503,368,444,398,486,559,495,363,242,212,373,0,
1,1775671254112,-2072,804,9710,15882,-35430,8552,0,0,0,347,363,300,396,243,417,537,425,376,374,392,303,0,
2,1775671254112,1215,1024,9920,24434,-57421,-14660,0,0,0,445,502,367,447,400,488,555,493,361,240,209,371,0,
1,1775671254128,-2077,799,9715,15882,-35430,8552,0,0,0,347,363,301,399,245,419,537,425,376,372,391,302,0,
2,1775671254128,1210,1019,9925,25656,-56199,-14660,0,0,0,443,499,367,445,397,486,563,498,363,245,212,373,0,
1,1775671254144,-2067,799,9719,17104,-36651,8552,0,0,0,347,364,304,398,254,419,530,424,376,374,391,303,0,
2,1775671254144,1210,1014,9920,24434,-54977,-15882,0,0,0,442,498,365,443,396,486,564,499,364,245,213,373,0,
1,1775671254160,-2062,808,9724,18325,-36651,8552,0,0,0,346,363,301,395,245,415,536,426,378,373,391,304,0,
2,1775671254160,1215,1014,9920,24434,-54977,-15882,0,0,0,445,500,368,446,400,489,564,498,363,242,211,373,0,
1,1775671254176,-2072,808,9719,19547,-36651,9773,0,0,0,346,362,302,397,245,418,535,425,376,373,391,305,0,
2,1775671254176,1220,1024,9920,25656,-56199,-15882,0,0,0,449,504,372,447,401,490,566,500,365,241,210,372,0,
1,1775671254192,-2072,799,9719,19547,-36651,8552,0,0,0,345,362,303,395,243,419,534,425,379,373,391,306,0,
2,1775671254192,1220,1028,9916,25656,-57421,-15882,0,0,0,445,500,369,447,400,490,566,499,365,242,210,372,0,
1,1775671254208,-2067,799,9719,19547,-36651,8552,0,0,0,344,361,304,393,241,422,532,426,381,375,393,314,0,
2,1775671254208,1210,1019,9920,25656,-57421,-17104,0,0,0,445,500,369,450,403,492,565,496,361,246,213,376,0,
1,1775671254224,-2067,804,9724,20769,-36651,8552,0,0,0,343,360,303,392,240,425,531,426,382,374,392,316,0,
2,1775671254224,1210,1009,9930,25656,-57421,-15882,0,0,0,445,500,368,445,396,486,563,495,362,243,209,373,0,
1,1775671254240,-2077,808,9719,21991,-36651,9773,0,0,0,344,360,303,392,241,424,533,425,383,371,389,312,0,
2,1775671254240,1210,1005,9925,25656,-57421,-15882,0,0,0,444,497,366,443,396,485,563,495,363,245,212,373,0,
1,1775671254256,-2077,794,9719,21991,-36651,9773,0,0,0,346,362,305,393,242,422,534,425,383,373,391,312,0,
2,1775671254256,1210,1005,9916,24434,-57421,-15882,0,0,0,443,496,365,447,400,488,565,498,363,242,211,372,0,
1,1775671254272,-2067,794,9715,19547,-35430,8552,0,0,0,347,363,303,394,242,418,534,423,379,377,393,311,0,
2,1775671254272,1215,1009,9920,24434,-57421,-15882,0,0,0,444,499,368,446,398,487,563,494,361,241,210,372,0,
1,1775671254288,-2062,804,9715,20769,-36651,8552,0,0,0,346,362,300,397,243,415,537,424,380,375,392,302,0,
2,1775671254288,1220,1014,9935,26878,-56199,-15882,0,0,0,447,501,370,449,403,491,566,496,364,242,210,372,0,
1,1775671254304,-2067,804,9724,21991,-36651,8552,0,0,0,347,362,297,397,245,415,535,420,377,375,394,302,0,
2,1775671254304,1215,1014,9940,28099,-56199,-15882,0,0,0,448,501,369,449,403,491,566,497,365,244,211,373,0,
1,1775671254320,-2077,799,9729,24434,-36651,8552,0,0,0,349,362,300,397,242,414,539,420,379,375,390,306,0,
2,1775671254320,1215,1014,9935,29321,-56199,-17104,0,0,0,446,500,367,443,397,486,564,495,362,244,210,375,0,
1,1775671254336,-2081,794,9729,25656,-35430,9773,0,0,0,351,361,298,396,244,421,535,425,382,375,390,306,0,
2,1775671254336,1215,1019,9930,28099,-56199,-17104,0,0,0,445,501,366,443,397,486,564,494,362,244,210,375,0,
1,1775671254352,-2072,784,9719,25656,-35430,9773,0,0,0,349,360,295,394,241,412,536,418,377,375,388,304,0,
2,1775671254352,1215,1019,9930,26878,-56199,-17104,0,0,0,445,501,366,445,400,488,564,492,362,245,212,375,0,
