sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,grass
2,1775670240672,928,756,10011,21991,-57421,-19547,0,0,0,426,479,360,435,382,485,540,448,358,229,204,347,0,
1,1775670240688,-2330,531,9676,14660,-39095,7330,0,0,0,343,357,330,378,241,415,524,427,366,391,407,289,0,
2,1775670240688,923,741,9997,23212,-56199,-20769,0,0,0,427,479,362,434,382,483,541,451,360,230,203,347,0,
1,1775670240704,-2335,521,9672,13439,-37873,7330,0,0,0,343,356,329,380,243,417,525,427,366,392,407,291,0,
2,1775670240704,928,732,9983,20769,-56199,-19547,0,0,0,423,477,360,433,381,482,541,451,359,231,203,349,0,
1,1775670240720,-2335,516,9672,10995,-35430,7330,0,0,0,344,358,330,382,244,419,526,427,368,392,408,290,0,
2,1775670240720,938,732,9983,19547,-56199,-19547,0,0,0,426,479,363,437,386,487,543,452,361,233,205,350,0,
1,1775670240736,-2325,516,9672,10995,-35430,7330,0,0,0,342,358,330,378,242,416,522,425,364,390,408,290,0,
2,1775670240736,933,737,9997,17104,-57421,-19547,0,0,0,425,479,362,432,382,482,542,451,360,234,205,348,0,
1,1775670240752,-2321,521,9681,10995,-36651,7330,0,0,0,341,358,329,380,243,418,524,424,364,393,409,293,0,
2,1775670240752,923,741,9997,15882,-57421,-19547,0,0,0,428,480,363,435,384,485,544,454,361,234,205,348,0,
1,1775670240768,-2325,526,9691,10995,-36651,7330,0,0,0,343,357,329,378,241,415,525,423,365,393,407,288,0,
2,1775670240768,928,746,10002,15882,-57421,-20769,0,0,0,427,479,362,435,382,485,540,450,360,229,201,347,0,
1,1775670240784,-2335,526,9691,9773,-36651,7330,0,0,0,345,355,331,376,239,415,530,420,365,393,407,289,0,
2,1775670240784,928,746,10002,15882,-57421,-20769,0,0,0,424,475,359,437,386,486,539,449,359,365,269,333,0,
1,1775670240800,-2335,526,9681,8552,-35430,6108,0,0,0,342,354,330,376,239,413,527,423,363,398,415,290,0,
2,1775670240800,933,746,9997,17104,-57421,-19547,0,0,0,424,476,359,437,386,487,543,453,360,260,219,346,0,
1,1775670240816,-2330,526,9686,4886,-35430,4886,0,0,0,342,354,329,379,242,415,527,424,366,393,408,285,0,
2,1775670240816,933,746,9987,14660,-57421,-19547,0,0,0,425,476,359,432,381,482,542,455,360,232,204,348,0,
1,1775670240832,-2330,526,9681,0,-35430,4886,0,0,0,345,355,329,379,242,414,528,425,366,390,407,281,0,
2,1775670240832,918,746,9983,13439,-57421,-19547,0,0,0,426,477,360,432,380,482,518,443,365,230,204,346,0,
1,1775670240848,-2335,531,9676,0,-35430,4886,0,0,0,343,354,328,378,239,413,526,425,362,391,407,280,0,
2,1775670240848,914,746,9983,12217,-58643,-18325,0,0,0,426,478,361,431,381,481,525,447,361,228,204,345,0,
1,1775670240864,-2330,531,9681,0,-34208,4886,0,0,0,346,355,330,379,239,413,523,424,362,393,408,281,0,
2,1775670240864,914,751,9987,10995,-57421,-18325,0,0,0,427,479,362,433,382,481,541,456,359,231,206,347,0,
1,1775670240880,-2325,531,9676,-2443,-32986,2443,0,0,0,345,355,330,378,238,411,523,421,358,392,408,278,0,
2,1775670240880,923,756,9987,10995,-57421,-18325,0,0,0,428,479,362,435,384,484,541,455,358,236,208,349,0,
1,1775670240896,-2325,531,9667,-9773,-31764,1221,0,0,0,343,354,328,376,238,407,523,422,355,390,408,273,0,
2,1775670240896,928,751,9987,10995,-57421,-19547,0,0,0,427,478,361,435,385,485,541,454,358,236,208,348,0,
1,1775670240912,-2321,540,9667,-18325,-31764,0,0,0,0,343,355,326,376,239,406,521,426,357,389,409,270,0,
2,1775670240912,923,751,9997,10995,-57421,-19547,0,0,0,426,477,360,435,384,485,544,458,361,234,208,348,0,
1,1775670240928,-2321,564,9676,-20769,-30543,0,0,0,0,343,353,324,377,242,406,520,426,357,391,411,272,0,
2,1775670240928,923,756,10002,10995,-58643,-19547,0,0,0,426,478,361,433,382,483,545,459,361,235,210,350,0,
1,1775670240944,-2321,583,9686,-17104,-29321,0,0,0,0,343,352,320,379,241,406,520,428,357,397,413,272,0,
2,1775670240944,923,765,10002,10995,-58643,-19547,0,0,0,426,478,362,431,380,481,542,457,358,249,214,346,0,
1,1775670240960,-2316,579,9691,-13439,-29321,1221,0,0,0,346,353,323,378,244,406,520,425,356,392,410,263,0,
2,1775670240960,923,765,10002,10995,-58643,-19547,0,0,0,426,477,362,436,384,485,540,456,356,291,228,340,0,
1,1775670240976,-2316,579,9686,-9773,-31764,1221,0,0,0,347,352,326,375,239,406,521,428,359,391,406,262,0,
2,1775670240976,928,765,10002,15882,-58643,-19547,0,0,0,430,482,367,435,384,486,548,463,365,234,211,348,0,
1,1775670240992,-2321,593,9686,-3665,-34208,1221,0,0,0,347,355,326,376,242,406,521,429,359,388,406,261,0,
2,1775670240992,923,765,10002,18325,-57421,-20769,0,0,0,428,480,362,434,384,484,541,458,358,234,211,348,0,
1,1775670241008,-2325,598,9691,1221,-35430,2443,0,0,0,346,355,326,373,239,404,519,428,358,392,412,267,0,
2,1775670241008,923,770,10007,20769,-56199,-21991,0,0,0,425,478,361,434,384,485,542,459,359,235,213,348,0,
1,1775670241024,-2325,598,9696,4886,-35430,3665,0,0,0,341,356,325,372,243,406,512,432,363,416,402,269,0,
2,1775670241024,923,765,10007,21991,-54977,-21991,0,0,0,423,474,358,435,384,485,541,458,357,233,211,346,0,
1,1775670241040,-2325,593,9691,4886,-34208,3665,0,0,0,343,355,326,374,241,408,518,427,361,396,408,266,0,
2,1775670241040,923,760,9992,19547,-54977,-20769,0,0,0,425,476,359,437,386,487,541,457,357,232,207,346,0,
1,1775670241056,-2325,588,9686,4886,-32986,4886,0,0,0,344,354,327,373,239,406,520,425,360,392,409,266,0,
2,1775670241056,914,751,9983,17104,-56199,-20769,0,0,0,429,480,364,438,385,486,541,457,357,235,211,349,0,
1,1775670241072,-2325,588,9676,4886,-32986,4886,0,0,0,343,353,327,373,239,406,520,426,360,393,409,265,0,
2,1775670241072,909,751,9987,13439,-57421,-19547,0,0,0,427,479,362,433,381,483,542,458,357,233,210,347,0,
1,1775670241088,-2325,579,9676,2443,-31764,4886,0,0,0,343,353,325,374,240,407,520,428,362,395,411,264,0,
2,1775670241088,914,760,9992,12217,-56199,-18325,0,0,0,428,480,362,433,382,484,543,459,358,232,209,346,0,
1,1775670241104,-2321,569,9672,0,-29321,3665,0,0,0,342,352,324,376,242,407,520,427,360,396,412,260,0,
2,1775670241104,918,765,9992,9773,-56199,-18325,0,0,0,428,480,362,436,385,486,541,458,356,232,209,344,0,
1,1775670241120,-2306,569,9676,-6108,-29321,2443,0,0,0,342,352,323,375,241,405,517,428,357,399,413,253,0,
2,1775670241120,909,760,9987,4886,-56199,-15882,0,0,0,425,478,361,436,386,485,542,459,356,232,210,344,0,
1,1775670241136,-2306,564,9686,-19547,-28099,0,0,0,0,342,353,323,374,240,399,513,432,355,404,414,243,0,
2,1775670241136,904,760,9987,0,-54977,-13439,0,0,0,422,476,359,433,384,482,544,464,360,233,213,346,0,
1,1775670241152,-2321,555,9681,-46425,-21991,-1221,0,0,0,338,350,311,379,245,387,512,427,345,404,410,227,0,
2,1775670241152,890,765,9973,-7330,-51312,-10995,0,0,0,421,476,358,432,381,482,544,466,360,233,213,346,0,
1,1775670241168,-2321,574,9657,-79412,-8552,-4886,0,0,0,335,349,288,393,247,382,519,420,342,403,404,216,0,
2,1775670241168,861,770,9968,-15882,-37873,-8552,0,0,0,423,477,359,434,383,481,542,462,355,233,212,345,0,
1,1775670241184,-2311,631,9643,-103847,0,-9773,0,0,0,334,345,290,392,245,378,524,411,336,400,404,209,0,
2,1775670241184,871,775,10016,-24434,-13439,-7330,0,0,0,423,478,354,431,382,477,542,466,354,229,212,341,0,
1,1775670241200,-2282,679,9657,-114842,3665,-10995,0,0,0,338,351,285,379,245,365,515,422,320,396,407,207,0,
2,1775670241200,928,789,10054,-21991,-1221,-7330,0,0,0,421,478,334,430,380,471,542,470,352,230,212,340,0,
1,1775670241216,-2258,713,9662,-114842,1221,-9773,0,0,0,337,353,284,374,247,364,516,426,321,394,407,199,0,
2,1775670241216,981,818,10083,-10995,0,-7330,0,0,0,420,478,334,440,389,480,542,471,352,226,210,338,0,
1,1775670241232,-2268,737,9657,-109955,0,-8552,0,0,0,333,350,278,370,243,360,518,427,319,393,406,195,0,
2,1775670241232,1000,851,10126,9773,0,-12217,0,0,0,419,478,333,429,384,471,540,466,346,222,208,333,0,
1,1775670241248,-2282,760,9633,-102625,1221,-7330,0,0,0,332,349,283,369,237,360,518,426,319,393,406,200,0,
2,1775670241248,1009,871,10174,46425,1221,-18325,0,0,0,412,476,322,432,386,472,532,461,350,227,210,337,0,
1,1775670241264,-2258,775,9605,-92851,6108,-4886,0,0,0,336,352,292,370,232,358,521,427,318,388,417,202,0,
2,1775670241264,1028,875,10222,92851,9773,-25656,0,0,0,406,473,316,433,388,475,524,442,348,221,194,338,0,
1,1775670241280,-2201,789,9600,-83077,3665,-2443,0,0,0,336,354,306,372,233,375,518,433,325,385,426,210,0,
2,1775670241280,1048,894,10260,164933,23212,-34208,0,0,0,399,471,309,431,387,473,515,419,351,216,183,338,0,
1,1775670241296,-2167,808,9590,-73303,-8552,-2443,0,0,0,340,357,306,382,236,373,514,439,328,389,433,209,0,
2,1775670241296,1095,904,10299,257785,40317,-47647,0,0,0,387,465,298,430,384,473,466,374,361,234,190,336,0,
1,1775670241312,-2191,794,9566,-72082,-23212,-8552,0,0,0,342,366,298,379,252,363,513,444,327,398,437,210,0,
2,1775670241312,1282,875,10409,388510,59864,-80634,0,0,0,378,461,289,424,382,471,465,349,361,257,206,335,0,
1,1775670241328,-2230,770,9576,-79412,-31764,-17104,0,0,0,339,369,295,367,257,359,520,449,324,399,444,218,0,
2,1775670241328,1478,818,10643,529009,79412,-146607,0,0,0,366,458,280,418,382,468,476,337,356,265,219,332,0,
1,1775670241344,-2273,775,9605,-96516,-29321,-25656,0,0,0,342,363,295,366,252,349,527,463,317,395,451,212,0,
2,1775670241344,1856,823,10897,692721,102625,-234572,0,0,0,347,452,269,413,382,462,458,322,352,267,232,325,0,
1,1775670241360,-2287,818,9643,-107512,-14660,-28099,0,0,0,345,365,307,363,265,355,528,480,317,400,452,202,0,
2,1775670241360,3000,1215,11083,874759,161268,-441044,0,0,0,329,445,262,398,384,446,446,321,346,265,244,314,0,
1,1775670241376,-2292,871,9691,-105068,-2443,-28099,0,0,0,351,372,313,370,251,371,533,468,322,417,464,206,0,
2,1775670241376,4139,1789,11280,1020144,271224,-811229,0,0,0,312,442,262,374,397,431,431,333,340,246,244,300,0,
1,1775670241392,-2306,894,9748,-85521,0,-24434,0,0,0,342,368,313,371,251,379,529,469,323,413,472,208,0,
2,1775670241392,4757,2234,11438,1082453,510683,-1368338,0,0,0,292,439,254,368,375,429,415,339,332,223,234,268,0,
1,1775670241408,-2311,904,9786,-62308,0,-21991,0,0,0,350,371,308,389,242,367,526,469,304,423,479,190,0,
2,1775670241408,5010,2723,11217,913854,1009149,-1984090,0,0,0,273,438,249,362,374,420,400,342,323,212,229,237,0,
1,1775670241424,-2301,918,9791,-37873,-4886,-19547,0,0,0,375,358,316,398,246,397,522,467,320,439,465,200,0,
2,1775670241424,5331,3642,10524,477696,1744631,-2763554,0,0,0,268,432,242,362,374,414,384,347,307,205,234,211,0,
1,1775670241440,-2292,938,9777,-4886,-14660,-14660,0,0,0,339,368,329,378,261,414,514,468,323,420,477,210,0,
2,1775670241440,4235,4283,9959,-197920,2474004,-3611435,0,0,0,272,432,246,352,366,401,377,350,302,199,236,197,0,
1,1775670241456,-2292,918,9777,24434,-19547,-9773,0,0,0,342,380,320,383,263,401,520,469,323,424,481,212,0,
2,1775670241456,-626,5202,10595,-742812,2227214,-4072027,0,0,0,272,435,250,356,371,405,377,350,303,203,239,194,0,
1,1775670241472,-2301,875,9772,42760,-17104,-7330,0,0,0,347,379,318,394,264,394,529,473,325,430,482,209,0,
2,1775670241472,-5556,7298,11505,-1202182,1014036,-4079358,0,0,0,275,435,257,356,369,402,376,349,300,204,241,194,0,
1,1775670241488,-2321,856,9700,32986,-7330,-8552,0,0,0,350,383,333,393,268,389,532,475,329,438,483,208,0,
2,1775670241488,-5618,8925,10643,-1860695,-590095,-3751934,0,0,0,273,435,250,359,374,402,376,350,295,206,245,194,0,
1,1775670241504,-2321,866,9681,28099,1221,-9773,0,0,0,348,384,329,389,282,381,529,469,325,446,482,207,0,
2,1775670241504,-3354,8681,9064,-2361605,-1185078,-3584557,0,0,0,271,434,247,357,372,400,375,351,294,209,247,192,0,
1,1775670241520,-2297,880,9710,31764,10995,-10995,0,0,0,346,384,331,394,292,378,528,466,321,451,479,206,0,
2,1775670241520,-2067,7772,8279,-2577851,-1211956,-3546683,0,0,0,270,432,247,355,370,397,373,353,290,210,249,192,0,
1,1775670241536,-2282,890,9734,42760,18325,-10995,0,0,0,344,398,340,402,291,382,530,472,322,448,476,202,0,
2,1775670241536,-1579,7293,8513,-2627942,-1287703,-3425732,0,0,0,269,432,247,354,370,395,371,354,289,211,249,193,0,
1,1775670241552,-2258,885,9700,50090,19547,-8552,0,0,0,341,413,337,408,290,390,533,478,324,443,475,199,0,
2,1775670241552,-799,6738,8863,-2701246,-1313360,-3224146,0,0,0,272,434,252,354,369,394,369,353,289,210,246,192,0,
1,1775670241568,-2239,880,9662,56199,21991,-8552,0,0,0,346,409,347,416,302,392,536,478,326,443,477,202,0,
2,1775670241568,-28,5685,9222,-2746450,-1202182,-2933374,0,0,0,273,435,256,356,372,395,366,351,284,208,244,189,0,
1,1775670241584,-2230,875,9638,61086,25656,-8552,0,0,0,352,412,343,420,298,388,533,473,319,445,473,201,0,
2,1775670241584,162,4216,9605,-2619390,-987158,-2559525,0,0,0,268,434,249,352,374,393,363,355,286,207,243,192,0,
1,1775670241600,-2220,851,9643,59864,31764,-8552,0,0,0,356,409,343,423,296,396,535,476,325,455,480,204,0,
2,1775670241600,43,2957,10136,-2417804,-768468,-2186897,0,0,0,270,436,251,355,374,396,361,355,290,208,246,197,0,
1,1775670241616,-2201,832,9657,56199,39095,-7330,0,0,0,353,393,327,422,290,406,522,457,318,439,471,207,0,
2,1775670241616,-71,1799,10624,-2262644,-563217,-1904677,0,0,0,270,439,250,357,376,397,360,356,290,208,245,196,0,
1,1775670241632,-2177,832,9667,56199,41538,-7330,0,0,0,351,388,343,417,285,425,532,467,340,445,470,230,0,
2,1775670241632,-134,526,10835,-2119702,-397062,-1748296,0,0,0,267,438,252,356,378,398,361,356,293,208,245,195,0,
1,1775670241648,-2163,861,9676,62308,42760,-7330,0,0,0,355,419,354,410,316,421,528,469,364,446,473,236,0,
2,1775670241648,-129,-497,10725,-1918116,-324980,-1756848,0,0,0,267,438,252,352,385,396,363,358,293,208,246,196,0,
1,1775670241664,-2153,866,9705,79412,43982,-4886,0,0,0,363,425,346,416,318,417,527,471,368,449,474,238,0,
2,1775670241664,-124,-1354,10586,-1676214,-298102,-1837482,0,0,0,265,436,251,355,377,399,362,356,293,205,246,194,0,
1,1775670241680,-2139,837,9739,95294,45204,-3665,0,0,0,366,434,345,421,322,409,529,468,359,449,475,231,0,
2,1775670241680,-205,-2244,10485,-1418429,-306654,-1964542,0,0,0,269,439,256,357,380,400,357,353,290,207,247,196,0,
1,1775670241696,-2134,804,9734,101403,46425,-3665,0,0,0,384,426,348,429,317,397,527,467,345,446,476,226,0,
2,1775670241696,-392,-3163,10351,-1131322,-337197,-2112371,0,0,0,267,440,254,356,378,397,360,355,293,210,248,198,0,
1,1775670241712,-2129,799,9705,97738,52534,-3665,0,0,0,380,428,369,428,316,398,525,470,341,444,475,230,0,
2,1775670241712,-550,-3843,10169,-841772,-362853,-2205223,0,0,0,268,441,255,357,379,398,358,354,293,207,245,197,0,
1,1775670241728,-2120,813,9724,102625,59864,-2443,0,0,0,373,448,376,424,331,405,524,473,341,441,474,235,0,
2,1775670241728,-579,-4254,9935,-531452,-354301,-2179567,0,0,0,268,443,255,354,376,398,359,355,294,206,244,197,0,
1,1775670241744,-2100,799,9763,122173,62308,0,0,0,0,389,458,360,428,341,402,529,465,338,442,471,243,0,
2,1775670241744,-598,-4455,9782,-338419,-317649,-2013411,0,0,0,265,441,253,355,377,399,359,355,292,204,241,197,0,
1,1775670241760,-2062,751,9772,138055,57421,0,0,0,0,391,448,368,429,340,403,533,454,341,449,463,252,0,
2,1775670241760,-660,-4757,9633,-190589,-309097,-1799608,0,0,0,265,441,253,359,381,401,361,357,291,201,237,196,0,
1,1775670241776,-2033,727,9758,141720,43982,0,0,0,0,386,448,369,431,348,407,526,451,337,444,465,243,0,
2,1775670241776,-545,-5197,9509,21991,-351858,-1513724,0,0,0,268,440,252,362,383,401,371,368,291,196,228,194,0,
1,1775670241792,-2048,737,9753,145385,39095,0,0,0,0,385,455,371,428,342,404,529,436,334,435,467,248,0,
2,1775670241792,28,-5245,9858,348193,-364075,-1241278,0,0,0,272,440,251,365,384,401,390,399,288,180,207,191,0,
1,1775670241808,-2062,741,9767,162490,46425,6108,0,0,0,390,444,403,427,315,423,521,426,338,427,444,257,0,
2,1775670241808,1215,-1823,11079,813672,-383623,-1015258,0,0,0,272,440,250,364,383,397,414,442,285,174,211,188,0,
1,1775670241824,-2081,760,9834,199142,65973,17104,0,0,0,388,446,439,426,337,439,505,462,340,420,433,270,0,
2,1775670241824,4039,6197,10993,1089783,-728151,-818559,0,0,0,274,439,251,365,380,396,429,455,281,233,284,186,0,
1,1775670241840,-2124,775,9959,250454,91629,31764,0,0,0,386,462,431,438,365,432,488,433,335,406,420,278,0,
2,1775670241840,5752,7690,10294,1219287,-1104444,-503352,0,0,0,277,439,257,370,380,400,449,474,285,175,225,193,0,
1,1775670241856,-2187,770,10126,321315,112399,56199,0,0,0,402,493,428,412,394,418,465,406,335,398,414,282,0,
2,1775670241856,3886,2871,11926,1330464,-978606,14660,0,0,0,285,444,266,368,380,400,456,485,283,183,240,191,0,
1,1775670241872,-2215,737,10256,414166,119729,95294,0,0,0,408,495,414,409,388,421,445,354,344,387,372,301,0,
2,1775670241872,933,421,13649,1214400,-632856,362853,0,0,0,285,441,268,368,380,397,469,489,284,188,242,193,0,
1,1775670241888,-2191,703,10409,498466,120951,141720,0,0,0,396,516,393,407,402,430,404,297,343,368,330,339,0,
2,1775670241888,-392,1536,12854,922406,-379958,265115,0,0,0,292,443,281,373,376,395,481,491,282,190,243,194,0,
1,1775670241904,-2177,693,10758,673173,100181,188146,0,0,0,389,507,390,389,397,424,367,259,332,348,295,331,0,
2,1775670241904,650,2493,10538,786794,-239459,34208,0,0,0,297,449,290,377,378,398,487,495,282,192,242,192,0,
1,1775670241920,-2091,751,11471,956614,180816,217468,0,0,0,384,503,361,392,399,418,341,245,327,332,279,329,0,
2,1775670241920,1780,2407,9102,775798,-174707,2443,0,0,0,299,449,295,378,379,397,498,497,282,281,283,190,0,
1,1775670241936,-2206,799,12529,1310916,614530,199142,0,0,0,391,506,313,391,428,409,309,245,336,307,289,343,0,
2,1775670241936,2196,1713,8762,779464,-260228,167377,0,0,0,305,447,302,381,377,401,519,499,291,252,275,198,0,
1,1775670241952,-2809,569,13333,1698205,1182635,248011,0,0,0,413,490,281,364,432,391,288,243,335,287,296,333,0,x
2,1775670241952,1488,1167,9585,604756,-423940,239459,0,0,0,322,449,309,390,378,406,529,508,295,245,290,204,0,x
1,1775670241968,-2550,512,14266,2114815,1532050,360410,0,0,0,413,470,275,342,388,387,288,231,317,282,277,310,0,
2,1775670241968,957,823,10595,288328,-472809,194255,0,0,0,343,453,324,397,379,410,529,520,297,251,291,212,0,
1,1775670241984,-2507,732,15060,2486221,1618792,419053,0,0,0,381,451,296,306,354,396,267,219,308,260,265,291,0,
2,1775670241984,942,985,10892,-2443,-359188,113620,0,0,0,355,456,339,398,379,410,534,522,294,256,292,215,0,
1,1775670242000,-2479,799,15563,2863736,1656666,467922,0,0,0,367,428,293,288,320,364,267,213,306,259,257,276,0,
2,1775670242000,1072,1397,10614,-123394,-235793,64751,0,0,0,363,458,338,400,381,409,540,521,287,283,320,211,0,
1,1775670242016,-2167,488,15716,3188716,1806939,483805,0,0,0,344,421,285,290,297,366,279,227,290,262,255,237,0,
2,1775670242016,1186,1708,10217,-94073,-156381,40317,0,0,0,379,465,334,408,383,415,542,535,293,234,278,220,0,
1,1775670242032,-2153,162,16051,3376863,2334726,394618,0,0,0,317,387,276,281,267,370,277,236,300,246,264,242,0,
2,1775670242032,1225,1775,10088,-14660,-130725,20769,0,0,0,389,466,343,409,381,417,549,543,298,260,297,220,0,
1,1775670242048,-3220,-76,15869,3349984,3180164,191811,0,0,0,289,352,258,287,249,369,292,255,283,242,271,212,0,
2,1775670242048,1191,1761,10078,59864,-113620,6108,0,0,0,392,462,337,413,384,417,546,537,295,309,334,222,0,
1,1775670242064,-3211,-430,15022,2993239,4125783,-64751,0,0,0,267,319,261,261,203,319,317,256,263,233,273,163,0,
