sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,grass
1,1775670240256,-2335,521,9667,6108,-42760,7330,0,0,0,355,351,329,380,238,417,518,416,363,391,404,294,0,
2,1775670240256,909,737,9983,31764,-59864,-20769,0,0,0,421,477,355,434,384,482,541,453,357,230,206,344,0,
1,1775670240272,-2335,507,9667,7330,-39095,8552,0,0,0,360,352,329,383,239,418,518,424,365,391,403,293,0,
2,1775670240272,942,760,9954,31764,-57421,-20769,0,0,0,424,478,357,436,385,485,538,450,354,233,206,345,0,
1,1775670240288,-2335,502,9672,7330,-37873,7330,0,0,0,363,351,330,382,236,417,519,426,367,392,403,292,0,
2,1775670240288,942,751,9954,29321,-53756,-20769,0,0,0,423,479,358,434,383,481,539,450,355,234,208,345,0,
1,1775670240304,-2330,507,9667,6108,-36651,6108,0,0,0,359,349,328,381,238,417,519,426,366,393,402,291,0,
2,1775670240304,938,751,9959,28099,-54977,-20769,0,0,0,421,478,355,436,384,481,541,453,358,231,205,344,0,
1,1775670240320,-2325,507,9657,4886,-32986,6108,0,0,0,357,349,329,381,239,417,521,426,366,394,404,291,0,
2,1775670240320,928,760,9968,28099,-58643,-20769,0,0,0,421,478,355,436,382,483,539,451,355,234,208,346,0,
1,1775670240336,-2325,512,9662,4886,-31764,6108,0,0,0,360,351,332,384,241,420,524,428,369,391,404,289,0,
2,1775670240336,923,765,9983,28099,-59864,-20769,0,0,0,425,478,356,436,382,483,538,451,355,232,208,345,0,
1,1775670240352,-2325,512,9672,4886,-31764,6108,0,0,0,353,351,328,382,247,418,520,420,365,392,405,289,0,
2,1775670240352,923,756,10002,28099,-58643,-20769,0,0,0,424,479,358,432,382,482,537,449,351,232,208,345,0,
1,1775670240368,-2325,516,9676,4886,-31764,6108,0,0,0,350,353,331,381,242,418,520,422,365,392,405,292,0,
2,1775670240368,933,756,10007,30543,-56199,-20769,0,0,0,425,480,357,435,393,480,541,456,361,234,208,349,0,
1,1775670240384,-2321,521,9681,7330,-31764,6108,0,0,0,356,354,331,381,239,414,523,427,366,392,405,290,0,
2,1775670240384,942,760,10007,35430,-56199,-20769,0,0,0,423,477,354,436,389,483,540,455,358,231,205,347,0,
1,1775670240400,-2311,516,9676,8552,-34208,6108,0,0,0,346,353,328,378,238,414,524,428,369,392,406,290,0,
2,1775670240400,942,760,9997,40317,-57421,-21991,0,0,0,424,477,356,435,385,484,542,455,359,230,205,346,0,
1,1775670240416,-2316,516,9667,9773,-39095,8552,0,0,0,342,353,328,381,243,417,521,424,364,390,403,286,0,
2,1775670240416,918,746,9987,36651,-57421,-21991,0,0,0,426,479,359,434,383,483,542,453,360,227,203,344,0,
1,1775670240432,-2321,516,9662,7330,-39095,7330,0,0,0,339,354,329,365,278,408,515,426,363,390,405,287,0,
2,1775670240432,909,737,9987,31764,-58643,-20769,0,0,0,425,479,359,434,383,483,540,451,358,228,201,345,0,
1,1775670240448,-2325,526,9657,6108,-35430,7330,0,0,0,342,357,330,371,263,413,517,425,364,392,407,290,0,
2,1775670240448,918,737,9992,26878,-56199,-19547,0,0,0,426,480,360,433,383,484,539,449,356,230,202,348,0,
1,1775670240464,-2330,531,9667,7330,-34208,7330,0,0,0,344,359,333,379,244,419,521,424,365,394,408,291,0,
2,1775670240464,933,741,9997,26878,-56199,-19547,0,0,0,427,481,361,432,383,483,539,449,356,229,202,347,0,
1,1775670240480,-2321,536,9681,10995,-36651,7330,0,0,0,342,358,332,380,243,420,523,424,366,394,407,291,0,
2,1775670240480,942,751,10007,30543,-57421,-21991,0,0,0,423,477,358,434,385,483,541,451,358,230,204,347,0,
1,1775670240496,-2321,531,9686,14660,-40317,8552,0,0,0,340,356,331,380,242,419,525,424,366,391,407,291,0,
2,1775670240496,933,741,10002,30543,-57421,-21991,0,0,0,422,476,358,436,386,485,543,453,360,232,205,348,0,
1,1775670240512,-2335,531,9676,15882,-41538,8552,0,0,0,341,355,333,379,241,418,522,427,368,390,407,291,0,
2,1775670240512,933,732,9987,29321,-56199,-23212,0,0,0,425,478,359,433,382,481,539,450,358,231,205,347,0,
1,1775670240528,-2340,536,9672,17104,-39095,9773,0,0,0,342,355,332,379,242,419,520,427,369,392,407,291,0,
2,1775670240528,928,727,9983,25656,-56199,-21991,0,0,0,426,478,361,435,385,484,539,450,356,229,202,346,0,
1,1775670240544,-2330,526,9672,17104,-36651,9773,0,0,0,342,355,331,379,242,417,523,425,367,393,409,290,0,
2,1775670240544,928,727,9978,19547,-57421,-20769,0,0,0,421,475,357,435,384,484,540,451,359,229,203,344,0,
1,1775670240560,-2325,512,9672,15882,-36651,8552,0,0,0,342,359,331,378,241,416,524,429,370,390,406,290,0,
2,1775670240560,933,737,9987,17104,-59864,-20769,0,0,0,424,478,357,433,382,482,545,455,363,232,205,349,0,
1,1775670240576,-2325,516,9676,14660,-40317,7330,0,0,0,344,358,333,376,241,415,523,425,366,393,408,292,0,
2,1775670240576,933,737,9992,17104,-58643,-20769,0,0,0,423,476,357,435,384,483,541,449,356,229,205,346,0,
1,1775670240592,-2330,526,9676,12217,-40317,7330,0,0,0,344,358,330,377,242,415,523,426,366,394,410,292,0,
2,1775670240592,928,737,9987,17104,-58643,-20769,0,0,0,427,479,360,431,380,481,541,449,356,229,206,346,0,
1,1775670240608,-2335,531,9676,9773,-39095,7330,0,0,0,344,358,330,377,240,413,524,427,365,393,407,290,0,
2,1775670240608,918,741,9983,15882,-58643,-20769,0,0,0,425,478,359,434,382,483,542,452,359,231,206,347,0,
1,1775670240624,-2335,526,9672,9773,-37873,7330,0,0,0,344,360,331,380,242,415,522,425,362,390,405,289,0,
2,1775670240624,918,746,9987,15882,-58643,-19547,0,0,0,426,478,360,435,383,484,541,451,360,233,207,349,0,
1,1775670240640,-2340,526,9672,9773,-36651,7330,0,0,0,345,359,331,379,242,415,522,425,362,391,406,289,0,
2,1775670240640,928,751,10002,15882,-58643,-19547,0,0,0,427,479,362,433,382,483,541,451,360,234,208,350,0,
1,1775670240656,-2335,536,9686,12217,-37873,7330,0,0,0,343,359,329,380,243,416,523,427,365,392,407,289,0,
2,1775670240656,933,751,10007,19547,-58643,-19547,0,0,0,426,478,360,433,381,483,540,449,358,231,206,348,0,
1,1775670240672,-2330,536,9686,13439,-37873,7330,0,0,0,342,359,329,380,243,416,525,428,367,392,408,289,0,
