sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,brick
2,1775671631056,5049,12280,10284,5582086,-106290,-3208264,0,0,0,269,435,237,338,373,385,332,312,273,113,113,195,0,
1,1775671631072,-2421,957,9935,167377,-15882,24434,0,0,0,341,332,289,380,242,393,544,470,341,418,439,318,0,
2,1775671631072,2876,17745,9968,1005484,-1309695,-1974316,0,0,0,269,437,238,337,373,385,334,312,268,113,110,192,0,
1,1775671631088,-2464,914,9935,260228,-91629,42760,0,0,0,351,338,301,380,246,403,547,456,343,413,421,326,0,
2,1775671631088,4192,15640,9389,-3345098,-1863138,-447153,0,0,0,268,436,236,341,376,386,337,312,264,116,112,195,0,
1,1775671631104,-2560,842,9777,315206,-128281,52534,0,0,0,354,340,295,386,243,398,550,441,344,420,413,329,0,
2,1775671631104,6278,8241,7939,-5213123,-1528384,288328,0,0,0,266,436,236,342,378,385,340,314,263,117,114,196,0,
1,1775671631120,-2584,770,8786,287106,-87964,65973,0,0,0,350,339,282,397,248,404,540,438,339,417,406,350,0,
2,1775671631120,6862,3986,6250,-5204571,-974940,248011,0,0,0,265,439,239,342,379,385,340,317,263,117,115,194,0,
1,1775671631136,-2541,708,8222,228463,-17104,80634,0,0,0,364,342,281,405,254,409,538,428,344,407,400,354,0,
2,1775671631136,6355,3713,5599,-4747644,-383623,-21991,0,0,0,263,441,241,343,378,383,339,318,263,117,116,191,0,
1,1775671631152,-2560,670,9183,268780,-25656,81855,0,0,0,363,345,283,412,258,418,535,420,349,391,400,349,0,
2,1775671631152,5474,4455,6546,-4818505,54977,-10995,0,0,0,262,441,240,342,377,381,341,321,264,119,120,191,0,
1,1775671631168,-2546,650,9830,304210,-46425,83077,0,0,0,356,349,288,417,259,424,536,413,350,382,381,351,0,
2,1775671631168,4551,4929,8116,-5226562,322536,318871,0,0,0,262,442,243,343,380,383,341,321,262,126,140,193,0,
1,1775671631184,-2488,622,9724,282219,-45204,85521,0,0,0,366,351,294,428,255,419,539,403,354,382,350,358,0,
2,1775671631184,4398,4828,9150,-5638286,551000,857654,0,0,0,261,441,242,343,381,383,343,324,264,142,179,190,0,
