feature,surface,count,mean,std,min,25%,50%,75%,max,anova_F
orient_rest_a_roll3_std,ALL,13153.0,1.0833382186436065,0.9151433774626347,0.0,0.4436969455193796,0.8032087011974346,1.4626648009533862,8.507866244181637,4162.44
orient_rest_a_roll3_std,hard,9757.0,0.818621862232906,0.6482151614988376,0.0,0.3784498728024874,0.6412545275107431,1.0691382192661338,5.997919959630745,4162.44
orient_rest_a_roll3_std,soft,3396.0,1.8438910718530301,1.1211221788770154,0.0,1.0231003123616405,1.6811230213008925,2.433574561122896,8.507866244181637,4162.44
accel_jerk_ratio,ALL,13153.0,0.4641919258935524,0.03881112851510688,0.1841188790216008,0.437090985434021,0.4625764209871012,0.4888138404444072,0.7633986374107881,2155.11
accel_jerk_ratio,hard,9757.0,0.45560045464461746,0.034551917851489485,0.2970532847367447,0.4313461285052125,0.4548982733970884,0.4781400432829985,0.6178117617444321,2155.11
accel_jerk_ratio,soft,3396.0,0.48887596151659696,0.03978760354066649,0.1841188790216008,0.4623952026093305,0.4880511067103611,0.5144691330986297,0.7633986374107881,2155.11
orient_rest_b_roll3_std,ALL,13153.0,1.15356380271883,0.9983805931010532,0.0,0.4483971116561412,0.8377466673958802,1.5528167079635204,9.94829808999573,1994.25
orient_rest_b_roll3_std,hard,9757.0,0.9398378558624467,0.8292055132926224,0.0,0.385994229119354,0.6753475008224741,1.1669671786973634,6.375572257683414,1994.25
orient_rest_b_roll3_std,soft,3396.0,1.7676168249443096,1.173492494003476,0.0,0.9146238019878926,1.535408224313718,2.3624131473960532,9.94829808999573,1994.25
gyro_x_std,ALL,13153.0,4229474.814253564,276401.9825043436,2544586.0062204995,4048911.08907008,4233209.664503802,4417718.004717027,5552202.617390214,1375.2
gyro_x_std,hard,9757.0,4279646.41478389,263175.133054036,2544586.0062204995,4101879.4854989992,4276824.441704059,4458015.031751487,5552202.617390214,1375.2
gyro_x_std,soft,3396.0,4085327.4919996206,262508.3545405023,3104786.2602192108,3886147.350515658,4105549.205341542,4283022.383238329,5039354.852932026,1375.2
stance_duration,ALL,13153.0,1.045960617349654,0.10035795408273541,0.7999999999999998,0.96,1.024000000000001,1.1359999999999957,1.759999999999998,808.7
stance_duration,hard,9757.0,1.0317105667725732,0.09427534555261956,0.7999999999999998,0.9440000000000026,1.0079999999999956,1.1200000000000043,1.759999999999998,808.7
stance_duration,soft,3396.0,1.0869022379269735,0.10590760352280922,0.8640000000000043,0.9919999999999902,1.1039999999999992,1.1839999999999975,1.328000000000003,808.7
gyro_x_strike,ALL,13153.0,8577706.578043032,635248.5414646976,5958379.0,8157494.0,8585100.0,9027366.0,11618656.0,725.7
gyro_x_strike,hard,9757.0,8663407.892282464,598666.4551574806,5958379.0,8251567.0,8664512.0,9082344.0,10971139.0,725.7
gyro_x_strike,soft,3396.0,8331479.333333333,672026.2704431736,5970596.0,7858170.0,8326703.5,8794015.0,11618656.0,725.7
accel_hf_frac,ALL,13153.0,0.22525614975538652,0.07857943627865685,0.0422367266163223,0.1524838206945895,0.207546670183754,0.2953462200294531,0.4756966693331927,543.07
accel_hf_frac,hard,9757.0,0.23448784126849642,0.07908678751833137,0.0717983787308663,0.1565406545091298,0.2438283714334976,0.3033255356159514,0.4756966693331927,543.07
accel_hf_frac,soft,3396.0,0.19873270626498196,0.07069688442367493,0.0422367266163223,0.13944926971611527,0.1740395795087309,0.263235265825594,0.4588087772766345,543.07
accel_spec_centroid,ALL,13153.0,4.304739567106089,0.5389455364367074,2.170574737402477,3.87826380973809,4.235912892967056,4.680338457094928,7.087062948864385,522.13
accel_spec_centroid,hard,9757.0,4.3668709840076945,0.5497139665092368,2.7404453830705133,3.916191844394376,4.308819752551464,4.766838048503492,6.5392059768314414,522.13
accel_spec_centroid,soft,3396.0,4.1262306640704685,0.4624831436976643,2.170574737402477,3.787472265797111,4.075154532330065,4.429425403108936,7.087062948864385,522.13
gyro_mag_strike,ALL,13153.0,9497851.477285344,755533.0006407623,6292004.426359139,9064968.830213483,9458208.68093425,9859080.359970191,13883734.647872992,510.74
gyro_mag_strike,hard,9757.0,9584032.415585404,749958.6758660836,6292004.426359139,9148809.880670656,9527642.301677996,9910554.883800048,13883734.647872992,510.74
gyro_mag_strike,soft,3396.0,9250246.231409691,715850.9294509827,6572330.332000135,8795405.33121763,9248524.54720835,9656074.88360319,12695513.235604811,510.74
accel_zcr,ALL,13153.0,0.07273298863747088,0.018905888222618034,0.0263157894736842,0.056338028169014,0.0689655172413793,0.0857142857142857,0.1551724137931034,506.7
accel_zcr,hard,9757.0,0.07058468896819332,0.018524753736560852,0.0263157894736842,0.056338028169014,0.0655737704918032,0.0847457627118644,0.1428571428571428,506.7
accel_zcr,soft,3396.0,0.07890523830565142,0.01863228069173685,0.0263157894736842,0.064516129032258,0.081081081081081,0.09375,0.1551724137931034,506.7
gyro_hf_frac,ALL,13153.0,0.2077947388863344,0.04055540376150263,0.0149163786751484,0.1809970735270976,0.2064486028955779,0.2328376368686115,0.4380879766607312,440.93
gyro_hf_frac,hard,9757.0,0.21210399529707807,0.03981696726382573,0.0560671185609959,0.1860587696252632,0.2101374603235376,0.2364250705268349,0.4380879766607312,440.93
gyro_hf_frac,soft,3396.0,0.1954138746932762,0.04011329380366092,0.0149163786751484,0.16859012145003577,0.19398806427939597,0.22157094361283977,0.3565582623615605,440.93
gyro_z_std,ALL,13153.0,1218824.274741224,324031.7474126945,290815.63475770707,990216.8953418375,1157508.8054628766,1389269.1640880334,3573734.175469944,408.0
gyro_z_std,hard,9757.0,1251984.154279981,338474.14498548035,381653.2114634911,999947.6132089891,1210801.1230320074,1432015.860986442,3225705.761326552,408.0
gyro_z_std,soft,3396.0,1123553.0896235416,255524.26943603918,290815.63475770707,961935.2252355348,1098959.371386742,1235167.1365908186,3573734.175469944,408.0
gu_spatial_entropy_stance,ALL,13153.0,0.9792620876998969,0.01730861275166994,0.9099848766949112,0.966375270484116,0.9876267766043276,0.9946656635400284,0.9974760226470822,400.96
gu_spatial_entropy_stance,hard,9757.0,0.9810184767549118,0.015251873946635778,0.925194236557348,0.9678584478233724,0.9888129152781546,0.9947812041714054,0.9974760226470822,400.96
gu_spatial_entropy_stance,soft,3396.0,0.9742158309243424,0.021395823819471586,0.9099848766949112,0.9581064897443077,0.9749133788928919,0.994305222675149,0.997031236930272,400.96
accel_spec_entropy,ALL,13153.0,0.5345666975664962,0.05574907234436603,0.3773559213336553,0.4899043593281884,0.5191981362418825,0.5739778639883866,0.7306750041437807,397.46
accel_spec_entropy,hard,9757.0,0.5401998112359525,0.057139256990870295,0.3828871971000837,0.4926414938609678,0.5233812877064209,0.5837595908218776,0.7306750041437807,397.46
accel_spec_entropy,soft,3396.0,0.5183822776392629,0.0480071897287702,0.3773559213336553,0.48052189211537033,0.5085063434454032,0.5498559474730983,0.7284391763751267,397.46
heel_impulse_norm,ALL,13153.0,0.19025939747819198,0.03953300497096625,0.0882484862076698,0.1548656366698396,0.1855003813576331,0.2243219735905748,0.3032005447735784,260.12
heel_impulse_norm,hard,9757.0,0.18701136172374125,0.03657855424068934,0.0882484862076698,0.1549368928359659,0.1836292818119256,0.2208538241274263,0.2738680546356971,260.12
heel_impulse_norm,soft,3396.0,0.19959128347824362,0.04573924557381997,0.08871405197772,0.15439510563807576,0.2045600710194409,0.23770580563934895,0.3032005447735784,260.12
heel_fore_ratio,ALL,13153.0,0.5365242938567487,0.15056611111493332,0.1884572957918565,0.4109190250563341,0.5051360243957173,0.6632756866726199,1.1139387264112088,242.64
heel_fore_ratio,hard,9757.0,0.5245687813095719,0.13800266403106015,0.1964810489034813,0.4122891432993271,0.4995615389362012,0.6491937894874774,0.9443787632985622,242.64
heel_fore_ratio,soft,3396.0,0.5708735093817207,0.17749358057685555,0.1884572957918565,0.40534545422807516,0.562984608549306,0.7144093938021998,1.1139387264112088,242.64
gu_unload_slope,ALL,13153.0,-0.22021409350973997,0.11237622304547605,-0.6006812950740607,-0.3177179619122113,-0.1883259988945221,-0.1230379405060106,-0.03742640670877,227.1
gu_unload_slope,hard,9757.0,-0.21157640319758797,0.1070922922450984,-0.5753467540585118,-0.306271134242783,-0.1807834744513843,-0.1206993484427099,-0.0544752025392405,227.1
gu_unload_slope,soft,3396.0,-0.24503092047548394,0.12302068197271478,-0.6006812950740607,-0.348412200246157,-0.2594803117542285,-0.1339962463091201,-0.03742640670877,227.1
heel_ripple_frac,ALL,13153.0,0.0020253799429203233,0.0010530266272787848,0.0001330837665459,0.0013446349781475,0.0017904028684593,0.0024105607971,0.013801343572342,222.04
heel_ripple_frac,hard,9757.0,0.002105427370828322,0.0010864849537605796,0.0004816020452079,0.0013992187126664,0.0018623240381879,0.0025036303686458,0.013801343572342,222.04
heel_ripple_frac,soft,3396.0,0.0017953967997818231,0.0009122286093243006,0.0001330837665459,0.0012216435173056,0.001604271573941,0.00213148649528225,0.0107727409564485,222.04
gyro_y_strike,ALL,13153.0,2157778.3926100507,718989.9369815369,217468.0,1673770.0,2117258.0,2579073.0,6894225.0,206.92
