surface,source_user,hardness,evenness
soft,Catherine,13.196275506432254,88.3737828803953
soft,Catherine,46.69366445883581,54.29443394855399
soft,Catherine,94.00486000696672,95.10972242406626
soft,Catherine,28.15364386218338,44.31041999709345
soft,Catherine,15.984620012409954,13.675337886935038
soft,Catherine,84.07100456914107,48.612120331347185
soft,Catherine,17.0212057555991,83.59250108995786
soft,Catherine,11.214013584236211,57.73870077023688
soft,Catherine,8.113885425501746,48.91730853073681
soft,Catherine,34.49105783173183,62.92690015986049
soft,Catherine,56.68527086932546,27.634064816160443
soft,Catherine,46.15261836349862,35.17657317250399
soft,Catherine,38.68145615073423,98.08167417526522
soft,Catherine,51.04170837195079,38.27931986629851
soft,Catherine,57.90932258186244,61.19750036331929
soft,Catherine,32.018502421401635,92.21770091556459
soft,Catherine,13.009173127115146,90.16858014823427
soft,Catherine,7.028702849266972,61.015840720825466
soft,Catherine,39.38881172199998,95.92355762243861
soft,Catherine,23.627935047378926,82.35721552099986
soft,Catherine,13.14353275615695,97.55122801918326
soft,Catherine,31.399639414807673,48.22700188926028
soft,Catherine,40.503620567096036,60.180206365353875
soft,Catherine,16.61155644938716,35.031245458508934
soft,Catherine,12.320413667827786,65.71719226856561
soft,Catherine,41.16687115555663,77.95378578694957
soft,Catherine,31.762291145693723,38.43918035169307
soft,Catherine,20.11458792361415,69.92442958872257
soft,Catherine,7.601259207624635,73.15797122511263
soft,Catherine,3.3436408300838383,80.89667199534951
soft,Catherine,7.5589776308937635,58.305478854817615
soft,Catherine,23.161548416855645,82.92399360558058
soft,Catherine,18.669667583806966,82.64060456329022
soft,Catherine,21.48292950477729,99.34602528702223
soft,Catherine,30.52632492909961,96.19241389332946
soft,Catherine,11.1999170377362,72.54032844063363
soft,Catherine,32.81803302760602,2.2235140241244005
soft,Catherine,6.294002821723435,8.465339340212179
soft,Catherine,7.106782238896931,5.246330475221625
soft,Catherine,58.22340719676643,43.511117570120625
soft,Catherine,8.748627248256593,58.7850603110013
soft,Catherine,53.00644471637567,86.7824444121494
soft,Catherine,49.21498133491964,59.89681732306351
soft,Catherine,37.94043590615256,96.25781136462723
soft,Catherine,57.116369780909835,1.8165964249382358
soft,Catherine,47.245286105528336,8.523470425810203
soft,Catherine,47.34277169685927,4.381630576951025
soft,Catherine,52.67469560379746,53.12454585089377
soft,Catherine,31.056157747868223,29.959308240081384
soft,Catherine,50.64374123194607,81.41258538003197
soft,Catherine,39.93185284862015,15.128615026885628
soft,Catherine,38.89107357294937,29.53059148379596
soft,Catherine,26.371798009730163,80.09010318267694
soft,Catherine,36.079492079527974,96.33774160732452
soft,Catherine,48.298503269849085,68.45661967737247
soft,Catherine,32.10691903500142,58.51620404011045
soft,Catherine,48.26844407989832,65.07775032698736
soft,Catherine,63.45004957179198,57.58610667054207
soft,Catherine,14.583994568975081,58.334544397616625
soft,Catherine,16.21124788891856,16.138642639151286
soft,Catherine,21.433451602784487,77.43060601656737
soft,Catherine,20.977819263512934,51.90379305333527
soft,Catherine,39.63843582487465,82.32814997820084
soft,Catherine,44.87743240702273,99.41868914401977
soft,Catherine,55.85658344589609,92.99520418543817
soft,Catherine,37.19655519233403,82.74960034878652
soft,Catherine,22.570938037581488,61.7206801337015
soft,Catherine,40.248062830076904,72.45313181223659
soft,Catherine,34.50879504682363,62.86876907426247
soft,Catherine,41.59474847672105,67.13413748001744
soft,Catherine,24.261472408527965,57.70963522743787
soft,Catherine,12.881738213960354,29.414329312599914
soft,Catherine,29.634527821372565,7.055660514460108
soft,Catherine,75.751275219748,18.398488591774452
soft,Catherine,80.31529723492233,7.513442813544543
soft,Catherine,74.21482834723831,18.958000290655427
soft,Catherine,86.46915233348986,36.855108269146925
soft,Catherine,34.17706608502248,62.65804388896963
soft,Catherine,44.8007485913045,6.3508211015840725
soft,Catherine,39.05872869823956,5.20999854672286
soft,Catherine,31.750617473036723,5.922104345298648
