foot,step_id,surface,contact_time_sec,stance_duration,time_to_peak_frac,impact_mag,impact_mag_norm,accel_mag_strike,loading_rate,loading_rate_norm,heel_pmax_ratio,fore_pmax_ratio,heel_mean_ratio,fore_mean_ratio,heel_fore_ratio,total_pmax,total_p_mean,midstance_diff,heel_impulse,heel_impulse_norm,rise_slope,fall_slope,slope_asym,heel_skew,heel_kurt,gyro_mag_strike,gyro_x_strike,gyro_y_strike,gyro_z_strike,gyro_x_std,gyro_y_std,gyro_z_std,pressure_01_mean_ratio,pressure_02_mean_ratio,pressure_03_mean_ratio,pressure_04_mean_ratio,pressure_05_mean_ratio,pressure_06_mean_ratio,pressure_07_mean_ratio,pressure_08_mean_ratio,pressure_09_mean_ratio,pressure_10_mean_ratio,pressure_11_mean_ratio,pressure_12_mean_ratio,accel_spec_centroid,accel_hf_frac,accel_spec_entropy,accel_zcr,accel_jerk_ratio,gyro_hf_frac,heel_ripple_frac,impact_mag_roll3_std,loading_rate_roll3_std,stance_duration_roll3_std,source_user,source_recording
right,167,grass,165.328,1.0879999999999939,0.014705882352941176,3986.0,-0.282555346639297,31432.984586259066,656.25,0.18171680491411574,0.26700776956604133,0.36611711199545194,0.1710628958752459,0.3479820393477133,0.49158541686741625,5277.0,3882.8840579710145,-0.4000000000000057,644.1594202898551,0.16589715548356035,12.0,-0.5671641791044776,11.432835820895523,0.9945014813230205,-0.6552756924706729,7756602.496969985,7670023.0,398284.0,1084896.0,3881307.8952268246,1065919.6725947037,856585.2826223413,0.09291987503685815,0.08003165135731322,0.06894247888354317,0.07188739880336967,0.05815190412027516,0.06640813081565697,0.12458989470698234,0.0780235817541869,0.07150295425109829,0.10484885357141524,0.09303931412105897,0.08965396257824193,3.7937132068155637,0.1443151844755932,0.5093578396503131,0.08823529411764706,0.5832675106815493,0.20953695422508556,0.0009256442793371996,8659.322971995753,200.50820667316086,0.05768882040741944,Sam,REC_20260810_144155_new.csv
right,168,grass,166.432,1.0560000000000116,0.030303030303030304,9719.0,0.18495293563119675,37461.94553143229,687.5,0.1903699861005022,0.2758343385605147,0.4087253719340571,0.18380729139187651,0.34106137461655,0.5389273165229927,4974.0,3960.507462686567,-2.5999999999999943,707.8880597014926,0.1787367064374383,2.0,-0.765625,1.234375,0.636649559471513,-1.1981889476566694,9454950.300522685,8462927.0,2405587.0,3462384.0,3861763.3325134474,753846.9915767,1038798.6313792289,0.09454916828086254,0.08399345779600081,0.07246169268222828,0.06697468287645937,0.061423607708947295,0.06360559855890621,0.11121746798616189,0.08004401667206824,0.06506402767623627,0.10935957249560964,0.10376327471980826,0.0875434325467112,4.500072467993173,0.2594595749286787,0.5991870728096589,0.07575757575757576,0.5683434037426756,0.18621716975416197,0.0005756154193418111,6893.939536530138,209.57205521068752,0.040265783654770064,Sam,REC_20260810_144155_new.csv
right,169,grass,167.504,0.960000000000008,1.0,16338.0,0.7247117565536453,35757.104049405345,1770.8333333333335,0.490346933895233,0.23891092679408582,0.4038946988820772,0.1818451439417906,0.332936570705473,0.5461855498671705,5546.0,4145.573770491803,23.30000000000001,732.188524590164,0.1766193451439418,0.11666666666666667,0.0,0.11666666666666667,0.839570743169525,-0.7936737702308951,9649598.875729136,8596095.0,3433062.0,2726902.0,4401619.682574546,1190649.6792027964,1094390.249588423,0.09463777285669092,0.08150901613413478,0.07910866814299274,0.06585336918696616,0.05687282505536224,0.06143625434988928,0.11288358114520722,0.0783177791838026,0.06726510597912054,0.11255536222714332,0.103527364757988,0.0860329009807023,4.4654982583579965,0.28354890784380316,0.563230752252776,0.05,0.4415516089052701,0.1907216763722883,0.002052930103448787,6181.29374268311,634.67625350194,0.06661331198291115,Sam,REC_20260810_144155_new.csv
right,170,grass,168.48,1.0080000000000098,1.0,16051.0,0.7013078010309466,33894.55875210651,2208.3333333333335,0.6114914705046435,0.266069044440206,0.3751668891855808,0.1734495207466263,0.3360921932147812,0.5160772081238212,5243.0,3964.5,2.3000000000000114,666.3203125,0.16807171459200404,0.9682539682539683,0.0,0.9682539682539683,0.8773712437974536,-0.7849432582118183,8981648.5540031,8169711.0,2564412.0,2711019.0,4213492.749457786,919476.6154165418,1258924.0034795858,0.09594132299155,0.07805602850296381,0.07163182620759238,0.06918826459831,0.05523631605498802,0.06501844494892169,0.11814226258040106,0.07606964938832135,0.06859313910959768,0.11113475848152352,0.09737987135830496,0.09360811577752554,4.441765187125139,0.23230607035906653,0.5831027530892612,0.07936507936507936,0.47476095465187806,0.22501767402031414,0.002534380276162108,3741.3846367354477,782.9379912535517,0.04800000000000174,Sam,REC_20260810_144155_new.csv
right,171,grass,169.504,0.960000000000008,0.0,8844.0,0.11359941269613971,32607.66977261638,1090.2777777777778,0.3018998769472611,0.250926416093171,0.3559202399858832,0.16186223489647603,0.36205950204489273,0.447059762227408,5667.0,3972.311475409836,6.099999999999994,620.7704918032787,0.15627437466726646,0.0,-2.2666666666666666,-2.2666666666666666,1.3392591087122339,0.2860585717457469,8154218.341640908,7630928.0,2265088.0,1769065.0,4076934.051706027,1000879.7462920314,806722.5949000011,0.10238495157050238,0.09147335449071647,0.06469372005398022,0.06945619472496091,0.06620004869774794,0.0657791020630512,0.10727948793079968,0.07082220782382971,0.0691508020684162,0.10632204068325417,0.09104002707264632,0.09539806282009484,3.2542712952599406,0.14834779311205656,0.43437665191915314,0.1,0.48432422688948534,0.3565582623615605,0.003216849482880963,4246.23861003281,563.413752569424,0.02771281292110295,Sam,REC_20260810_144155_new.csv
right,172,grass,170.48,1.024000000000001,0.015625,4163.0,-0.2681215482855769,34725.262806780884,703.125,0.19469657669369544,0.2461018222806688,0.36858914146158184,0.1639900815721172,0.35600899147200593,0.4606346623267704,5323.0,3983.2615384615383,0.19999999999998863,633.1923076923077,0.15896327709801014,9.0,-0.12698412698412698,8.873015873015873,1.0195491109173573,-0.5889856879714643,8917671.334120415,8481252.0,697608.0,2665815.0,4206406.7879066905,1089803.0315101969,1090222.0305189823,0.0962296069707082,0.08489370905944876,0.07563573723890743,0.07094302311209987,0.06218329007539241,0.06879171301446052,0.11184495118032382,0.07383976022741319,0.06919725621060437,0.1026487764182425,0.090150321344704,0.09364185514769498,4.57447888250653,0.22926140600289888,0.584407331690898,0.078125,0.46462216298196135,0.24458366703009032,0.001639935984341,5988.560678493626,781.6209253197054,0.0333066559914555,Sam,REC_20260810_144155_new.csv
right,173,grass,171.52,1.0079999999999814,1.0,15611.0,0.6654271723550322,37320.235824549665,1453.125,0.4023729251669706,0.25629022820362785,0.37994928808269945,0.1723060154834987,0.3467197743191909,0.49696045119349325,5127.0,3899.3125,0.19999999999998863,651.359375,0.16704467133629325,0.031746031746031744,0.0,0.031746031746031744,0.8299670510631948,-0.9565845497844232,9249688.59435284,8494692.0,3268129.0,1648114.0,4138906.6636910066,1073709.308892505,893254.649823129,0.09477231563256343,0.08254660276651332,0.07264101043453172,0.07062943788167786,0.058764365513151354,0.06668242799211399,0.1162504608184135,0.07825498084598247,0.06809694016573434,0.10518280466107807,0.09405103463751623,0.09212761865072369,4.376231822221344,0.16418860144005,0.5202463722655896,0.09523809523809523,0.4707726648305225,0.21411415286959387,0.0015730985243556847,5755.587922474417,375.0656342596198,0.03330665599145095,Sam,REC_20260810_144155_new.csv
right,174,grass,172.544,0.9759999999999991,1.0,13318.0,0.47844016882350565,37263.16955118016,631.9444444444445,0.1749865528802596,0.2677432216905901,0.40410685805422647,0.170993183830646,0.349185560429151,0.4896914512168527,5016.0,3916.2096774193546,-5.300000000000011,648.2096774193549,0.1655196556907807,0.45901639344262296,0.0,0.45901639344262296,1.0012024436923663,-0.5275735977021765,9622674.313884577,8514239.0,3539353.0,2752558.0,4232990.775433693,1497527.2660382963,1042194.4304753669,0.09814872016638868,0.08337966681081528,0.07036510780255761,0.0727785671629497,0.05816601799798192,0.067778670126233,0.11522826959906098,0.07933938757439098,0.0670826383311711,0.10250200778402423,0.09165379625625503,0.09357715038817158,4.094671687175457,0.2576887671855656,0.5116179411812017,0.08196721311475409,0.4603936749699515,0.1820265601178698,0.00215518800728877,6057.069946214372,454.9549751187333,0.02444040370642984,Sam,REC_20260810_144155_new.csv
right,175,grass,173.536,0.9759999999999991,1.0,16338.0,0.7247117565536453,34764.42205761517,1041.6666666666665,0.28843937287954874,0.2741641337386018,0.40283687943262414,0.17503194013506115,0.3409173870480678,0.513414530278124,4935.0,3888.3225806451615,-0.6999999999999886,658.8870967741935,0.16945278667308233,0.26229508196721313,0.0,0.26229508196721313,0.9319903213201957,-0.8128359452758218,9058458.2175097,8436048.0,2433687.0,2228436.0,4190012.751618106,983424.0525113656,908761.420469816,0.09408236406776285,0.08353797142809735,0.07291476546815112,0.06724020640793774,0.0563266355837993,0.06565564386334599,0.11861404702251571,0.07958900927508336,0.06815692976488741,0.10368099686405946,0.09544293085997776,0.09475849939438184,3.948958702122509,0.263071228576447,0.5182254136486721,0.08196721311475409,0.49867846528082554,0.25173840952711823,0.002488263097026198,1576.217941783449,410.5905836464277,0.01847520861405748,Sam,REC_20260810_144155_new.csv
right,176,grass,174.528,0.9920000000000186,1.0,14898.0,0.60728424452338,36077.67678218763,1843.75,0.5105376899968014,0.25565184626978144,0.3916729464958553,0.16872078878289265,0.34841379089570396,0.4842540484664006,5308.0,3966.7301587301586,6.900000000000006,647.7380952380952,0.163292704398489,0.016129032258064516,0.0,0.016129032258064516,1.1131766611640206,-0.3588180030091901,9550889.528819973,8550891.0,2062281.0,3721391.0,4222079.517955268,958661.3095628788,1280927.1846660294,0.09752144823612267,0.08696539471156925,0.07159149113259491,0.06953870286189896,0.05879857865420322,0.06644151354119981,0.11340754849862347,0.07544497086881363,0.0666696011268327,0.10475622639093413,0.093275817914079,0.09558870606312825,4.697014962733962,0.22681715960076582,0.5857606225066068,0.08064516129032258,0.4910377809169898,0.23247507707998402,0.0013979985556108413,1510.5407420302788,616.3985017109641,0.009237604307045302,Sam,REC_20260810_144155_new.csv
