surface,source_user,hardness,evenness
paved,Catherine,45.409948475932396,68.49881796690308
paved,Catherine,31.03907212549663,45.301418439716315
paved,Catherine,25.329578619867828,63.83717494089834
paved,Catherine,17.194534357211484,60.72695035460993
paved,Catherine,33.43766021041244,52.82210401891253
paved,Catherine,45.247703593491124,38.15011820330969
paved,Catherine,42.537274612359745,57.949172576832154
paved,Catherine,33.50690547722699,51.08599290780141
paved,Catherine,33.36056507432733,60.9411938534279
paved,Catherine,61.714054263583904,33.01566193853428
paved,Catherine,48.162037874459,65.53634751773049
paved,Catherine,25.401333197114678,68.23286052009456
paved,Catherine,32.015121494423326,28.09544917257683
paved,Catherine,34.33540573931849,35.76388888888889
paved,Catherine,20.447220217941002,28.257978723404253
paved,Catherine,45.483179882163185,62.418735224586285
paved,Catherine,27.1509155445274,63.5121158392435
paved,Catherine,32.64655259367492,62.5886524822695
paved,Catherine,27.59587174781395,49.87440898345154
paved,Catherine,27.85130345416657,60.557033096926716
paved,Catherine,35.21230102697085,58.54757683215131
paved,Catherine,23.491353620629656,58.16341607565012
paved,Catherine,29.28219752925051,41.79225768321513
paved,Catherine,32.368874400165645,63.2313829787234
paved,Catherine,26.741008274421013,58.77659574468085
paved,Catherine,20.44052430585913,62.44089834515366
paved,Catherine,45.55406025345458,64.86406619385343
paved,Catherine,33.40412542512898,60.34278959810875
paved,Catherine,23.514209797475296,63.46778959810875
paved,Catherine,64.76513806243595,60.16548463356975
paved,Catherine,37.21357663162529,66.903073286052
paved,Catherine,49.45742674152381,60.786052009456256
paved,Catherine,25.65878261119705,36.05200945626478
paved,Catherine,56.07419154557471,52.06855791962175
paved,Catherine,30.228878973179267,64.29521276595744
paved,Catherine,53.26251209184862,58.296394799054376
paved,Catherine,45.19351503371043,62.566489361702125
paved,Catherine,59.80913248683505,34.626182033096924
paved,Catherine,66.86218996225213,36.10372340425532
paved,Catherine,36.439238073688514,30.260047281323878
paved,Catherine,24.51502441662254,45.264479905437355
paved,Catherine,51.638056440366334,65.48463356973994
paved,Catherine,45.290120514063055,60.320626477541374
paved,Catherine,33.01898085242997,71.82328605200946
paved,Catherine,58.08334889101475,62.825059101654844
paved,Catherine,97.82166188068608,16.4524231678487
paved,Catherine,13.56130002673363,2.356678486997636
paved,Catherine,50.840032106928966,3.2727541371158395
paved,Catherine,58.030738127288,1.4775413711583925
paved,Catherine,40.24591075499572,59.63356973995272
paved,Catherine,94.85592892113918,50.30289598108747
paved,Catherine,71.54701861194698,52.60786052009456
paved,Catherine,52.251062667119506,31.32387706855792
paved,Catherine,42.88320962091375,96.54255319148936
paved,Catherine,48.57341376987164,84.66312056737588
paved,Catherine,26.272429714495303,85.74172576832152
paved,Catherine,40.614995708964365,89.41341607565012
paved,Catherine,47.305839342547515,75.9160756501182
paved,Catherine,43.39973827839212,78.29491725768321
paved,Catherine,36.163972280992205,82.173463356974
paved,Catherine,39.456570516872134,77.99202127659575
paved,Catherine,55.96134061316306,75.88652482269504
paved,Catherine,48.66437633961659,72.55466903073287
paved,Catherine,53.397332580695334,80.57771867612293
paved,Catherine,42.120067573108486,77.74822695035462
paved,Catherine,55.6422755767958,80.22310874704492
paved,Catherine,71.54987203009034,68.27718676122932
paved,Catherine,38.30918257301866,65.83924349881796
paved,Catherine,40.41635405862861,77.31235224586288
paved,Catherine,45.526802801607225,69.10460992907801
paved,Catherine,48.86979493627156,76.44799054373522
paved,Catherine,38.88452744724704,70.35313238770685
paved,Catherine,48.21902243613205,80.30437352245863
paved,Catherine,40.62669523994942,79.38091016548464
paved,Catherine,48.597380955180164,98.24911347517731
paved,Catherine,42.82091476058844,87.44828605200946
paved,Catherine,38.62389556986401,82.3433806146572
paved,Catherine,48.256219766809465,82.80141843971631
paved,Catherine,34.60252673638078,78.90070921985816
paved,Catherine,47.272206321022885,83.15602836879432
paved,Catherine,33.6892775886693,88.12795508274232
paved,Catherine,46.35804131738786,85.04728132387707
paved,Catherine,39.11657457301616,82.04787234042553
paved,Catherine,47.22836016691621,93.91991725768321
paved,Catherine,51.5317778603524,87.91371158392435
paved,Catherine,44.97755641952004,93.37322695035462
paved,Catherine,38.507355404898426,88.82239952718676
paved,Catherine,47.74928046358118,87.52216312056737
paved,Catherine,42.99013159130144,82.7201536643026
paved,Catherine,55.24488270464569,32.254728132387704
paved,Catherine,51.633912838992536,76.41843971631207
paved,Catherine,47.80898654621801,83.22990543735224
paved,Catherine,41.05577662815034,77.58569739952719
paved,Catherine,46.346873188574584,85.98552009456264
paved,Catherine,43.18912461509428,79.61731678486997
paved,Catherine,55.001434424659514,81.55289598108747
paved,Catherine,38.27045794659519,85.32801418439716
paved,Catherine,46.99025164410981,84.41932624113475
