mean_total,peak_total,mean_fore,mean_heel,heel_fore_ratio,dip_depth,load_first_frac,push_peak,load_slope,unload_slope,fore_early_frac,fore_heel_toff,stance_frac,step_dur,spatial_entropy_ff,spatial_entropy_stance,participation_ff,active_sensors,cop_wander,press_jitter,accel_spec_centroid,accel_hf,accel_spec_entropy,accel_zcr,accel_jerk_ratio,accel_mag_strike,gyro_hf,gyro_peak_norm,source_user,source_recording,surface,tiltA_s2s,tiltB_s2s
3360.983333333333,4530.0,1417.95,493.7,0.3481787086989328,0.5047123488830383,0.55241456524563,1.2499621759946475,0.13118731145551876,-0.16805698769518185,0.4941602086881662,-0.52,1.0,0.96,0.9566265506226646,0.9695167440004525,0.8381192574170736,12.0,0.06685601820294194,0.007915852732456971,4.766763253049779,0.2586484754148265,0.544613940943481,0.1016949152542373,0.49940741979586883,14078.648017476678,0.15313818469532445,1.652515066727221,Catherine,REC_0811_00000_new.csv,paved,0.0,0.0
3437.253164556962,4408.0,1323.6962025316457,591.4430379746835,0.4468117660555856,0.491243374228044,0.5161165503795737,1.2387798617526584,0.08104478059510445,-0.0674601316572584,0.4972741669868679,-0.42,1.0,1.264,0.9442214412185495,0.9556623504410399,0.8077805647049684,12.0,0.0668895704683409,0.008196342430576273,2.9734582486193277,0.1273627993301936,0.5471067799847489,0.07692307692307693,0.5391985972048859,17557.43013655472,0.03921606069082517,4.764775735333754,Catherine,REC_0811_00000_new.csv,paved,0.4806778157836027,0.37978199953933
3049.0,4415.0,1254.923076923077,513.6538461538462,0.4093110212084516,0.4975292951906517,0.5015821673203754,1.4060347654964231,0.07428999805889092,-0.008955763348301504,0.5194592176135611,-0.64,1.0,0.832,0.9296193621009914,0.9510208827836465,0.7666297913637531,12.0,0.06558325683432942,0.008857816450350671,3.817247881677393,0.15919383600798137,0.4833264709812918,0.11764705882352941,0.4965701297821486,35206.38601163147,0.07904542863372288,1.681297588337374,Catherine,REC_0811_00000_new.csv,paved,0.3937269193373775,0.2839723365835561
3342.5714285714284,4501.0,1354.5555555555557,537.063492063492,0.3964868697045246,0.4972533582625748,0.5416110304734508,1.345969741003102,0.1103513120779227,-0.07923754167020458,0.50192638304247,-0.5,1.0,1.008,0.9483395625267184,0.9677942687780837,0.8165860994640767,12.0,0.06951645692905982,0.008974306573111478,3.9047745595552046,0.15136832137196313,0.49831096096250177,0.0967741935483871,0.5655357386807229,16878.43887923288,0.06028990387403135,1.948109272774881,Catherine,REC_0811_00000_new.csv,paved,0.4574834586849558,0.43092642494205324
3338.935483870968,4762.0,1389.5483870967741,503.16129032258067,0.362104187946624,0.5471876507343896,0.550277095936614,1.4222301439531626,0.11081987356466527,-0.20947651573593362,0.5231604280051345,-0.5,1.0,0.992,0.9611760688023868,0.9632826072174782,0.8528089841492692,12.0,0.07762017297581021,0.010189160919958438,4.039073419785639,0.1921033038165595,0.5068122410810472,0.09836065573770492,0.5162309336457765,13677.297284185937,0.13780651895298648,2.2380966830290534,Catherine,REC_0811_00000_new.csv,paved,0.09213506074644129,0.34904669220484463
3226.9827586206898,4810.0,1356.3103448275863,472.6551724137931,0.348486004118422,0.550439136455028,0.5796961395257653,1.3613335826672777,0.11909779486283933,-0.18689980520292548,0.566415378823501,-0.54,1.0,0.928,0.9794544671743948,0.9608869465915734,0.908603670768084,12.0,0.08102705344897865,0.01156306373571991,4.828002693457536,0.27286277693800154,0.5373263340493354,0.10526315789473684,0.5036996382298324,13755.845521086663,0.20504588217224573,1.8150530627814259,Catherine,REC_0811_00000_new.csv,paved,0.4516874141701069,0.7240025919448729
3400.178082191781,4740.0,1356.3013698630136,558.4794520547945,0.41176648823320816,0.5393266170530966,0.5238147835881842,1.3052257536869734,0.09464090132591552,-0.0633100093344593,0.5103887203035111,-0.42,1.0,1.168,0.951966483260264,0.9553170892671751,0.8283322104295271,12.0,0.057893781455424204,0.008095646385582462,3.5055248704961635,0.17881811231702577,0.550528091062989,0.08333333333333333,0.5116247218033615,15330.462387025384,0.0618836005067582,4.113489269925348,Catherine,REC_0811_00000_new.csv,paved,0.4395748202386668,0.6857168163512534
3369.1739130434785,4648.0,1301.072463768116,596.8985507246376,0.4587742553519765,0.5320611897030623,0.46728811429687644,1.37956665935358,0.07263331962972353,-0.04976088072372464,0.4807331924303469,-0.46,1.0,1.104,0.9664135418814418,0.9597060218713785,0.8647837594476613,12.0,0.07357275368151414,0.00899869897631306,3.030379456762988,0.13570869575701644,0.5141366152747512,0.08823529411764706,0.5160111858509955,35811.95784929944,0.0868097599655085,2.8460628714700986,Catherine,REC_0811_00000_new.csv,paved,0.45744095485415687,0.6387918389692258
3209.0677966101694,4650.0,1225.406779661017,606.1694915254237,0.49466797604352497,0.524072855276879,0.4607270867716455,1.3387065254703094,0.15009762956594774,-0.005736296155770093,0.49142466281842445,-0.68,1.0,0.944,0.9498661074795625,0.9535653426894396,0.8102677007926401,12.0,0.06624639253638107,0.009664388389498721,3.3439704180573906,0.1464920083313469,0.5033576884178613,0.10344827586206896,0.49111923343054903,36572.56317241109,0.11951072117426169,1.8346701239219374,Catherine,REC_0811_00000_new.csv,paved,0.4002080302008158,0.49353270749306377
3314.4,4505.0,1276.15,568.5833333333334,0.44554584753586,0.5092708785236231,0.46443207735458614,1.317583876417657,0.07821774618606869,-0.041685754678397746,0.4759251798461392,-0.6,1.0,0.96,0.9527727460716707,0.9530235623616893,0.8290918955882308,12.0,0.07488612026002742,0.01076989341171313,3.4468587091962712,0.19539760959051983,0.550473188259187,0.06779661016949153,0.48791770974183835,35194.547887421424,0.06083115291821425,3.1983017448345783,Catherine,REC_0811_00000_new.csv,paved,0.7915587081787854,0.40051283128176685
