step,predicted_ground_type,prob_Brick,prob_Concrete,prob_Grass,contact_time_sec,loading_rate,midstance_pressure,time_to_midstance,step_duration,stance_auc
55,Brick,0.375,0.37,0.255,63.696,1010.4166666666283,1859.0,0.0,70,3739.1119999999983
56,Concrete,0.36,0.38,0.26,64.832,960.069444444408,1826.0,0.0,69,3788.599999999973
57,Brick,0.425,0.335,0.24,65.936,1645.8333333333774,1860.0,0.0,70,3811.6559999999986
58,Brick,0.4,0.28,0.32,67.088,1040.6249999998947,1745.0,0.0,72,3941.832000000039
59,Brick,0.425,0.34,0.235,68.208,1012.5000000000621,1875.0,0.0,70,3815.815999999996
60,Brick,0.45,0.355,0.195,69.296,1073.437499999924,1920.0,0.0,69,3766.120000000034
61,Brick,0.46,0.34,0.2,70.416,1431.2500000000305,1886.0,0.0,69,3758.400000000033
62,Brick,0.41,0.335,0.255,71.536,1053.5714285714675,1852.0,0.0,69,3770.0800000000368
63,Brick,0.465,0.345,0.19,72.64,1314.0625000000869,1688.0,0.0,70,3830.6239999999975
64,Brick,0.46,0.335,0.205,73.744,1088.5416666666254,1885.0,0.0,69,3757.0959999999764
65,Brick,0.43,0.33,0.24,74.848,2036.458333333188,1877.0,0.0,69,3709.607999999974
66,Brick,0.41,0.35,0.24,75.968,1432.2916666666292,1785.0,0.0,69,3765.559999999977
67,Concrete,0.34,0.35,0.31,77.088,1710.41666666653,1858.0,0.0,71,3892.720000000016
68,Brick,0.395,0.38,0.225,78.208,646.8750000000139,1846.0,0.0,70,3790.6319999999946
69,Brick,0.445,0.315,0.24,79.312,718.7499999999424,1884.0,0.0,69,3744.344000000032
70,Brick,0.425,0.305,0.27,80.448,877.6041666666458,1775.0,0.0,72,3947.5599999999804
71,Brick,0.42,0.33,0.25,81.568,492.1875000000134,1931.0,0.0,71,3896.648000000021
72,Brick,0.415,0.31,0.275,82.688,828.1250000000186,1980.0,0.0,69,3727.9040000000323
73,Brick,0.395,0.325,0.28,83.856,1023.8095238095204,1793.0,0.0,72,3948.7360000000417
74,Brick,0.405,0.33,0.265,84.992,645.8333333333212,1824.0,0.0,71,3905.880000000018
75,Brick,0.39,0.33,0.28,86.112,716.3194444444074,1823.0,0.0,71,3895.4239999999595
76,Brick,0.41,0.33,0.26,87.248,875.0000000000673,1906.0,0.0,72,3956.3439999999823
