foot,step_id,surface,contact_time_sec,stance_duration,time_to_peak_frac,impact_mag,impact_mag_norm,accel_mag_strike,loading_rate,loading_rate_norm,heel_pmax_ratio,fore_pmax_ratio,heel_mean_ratio,fore_mean_ratio,heel_fore_ratio,total_pmax,total_p_mean,midstance_diff,heel_impulse,heel_impulse_norm,rise_slope,fall_slope,slope_asym,heel_skew,heel_kurt,gyro_mag_strike,gyro_x_strike,gyro_y_strike,gyro_z_strike,gyro_x_std,gyro_y_std,gyro_z_std,gu_dip_depth,gu_load_first_frac,gu_push_peak,gu_load_slope,gu_unload_slope,gu_fore_early_frac,gu_fore_heel_toff,gu_stance_frac,gu_spatial_entropy_ff,gu_spatial_entropy_stance,gu_participation_ff,gu_active_sensors,gu_cop_wander,gu_press_jitter,orient_range_a,orient_range_b,pressure_01_mean_ratio,pressure_02_mean_ratio,pressure_03_mean_ratio,pressure_04_mean_ratio,pressure_05_mean_ratio,pressure_06_mean_ratio,pressure_07_mean_ratio,pressure_08_mean_ratio,pressure_09_mean_ratio,pressure_10_mean_ratio,pressure_11_mean_ratio,pressure_12_mean_ratio,accel_spec_centroid,accel_hf_frac,accel_spec_entropy,accel_zcr,accel_jerk_ratio,gyro_hf_frac,heel_ripple_frac,impact_mag_roll3_std,loading_rate_roll3_std,stance_duration_roll3_std,orient_rest_a_roll3_std,orient_rest_b_roll3_std,source_user,source_recording
right,0,modular_paved,0.8,1.008,0.015873015873015872,19880.0,1.0715516324000767,35179.330920300345,718.75,0.21067718693632337,0.23739837398373984,0.4219512195121951,0.14349232012934518,0.38419975912757987,0.3734836285558357,4920.0,3788.3125,-14.300000000000011,525.90625,0.1388233547258839,13.0,-0.9516129032258065,12.048387096774194,1.310299301121127,0.09910393649736937,8992663.641778948,8443379.0,1875356.0,2461786.0,4172497.2053567315,996379.0791613702,928823.1352433135,0.4096252332302045,0.5840267652161395,1.1717618332697812,0.04989028756206104,-0.10532394040879545,0.4837842085365139,0.4,1.0,0.9912318116148627,0.9940162010912392,0.9570967649014356,12.0,0.030080737604857927,0.0037756125789884716,9.244013301511785,5.890538229002459,0.10166548430204742,0.08495289789319123,0.06583983633873922,0.0791785590549882,0.06755563987923383,0.07652236318941481,0.11231089040304885,0.06620279477999769,0.07599029911075182,0.09308234207183277,0.0772895253493475,0.09940936762740667,4.662356054101872,0.25961984437269564,0.5847082682103382,0.09523809523809523,0.4432257741689924,0.22146988648990765,0.002133838470869075,0.0,0.0,0.0,0.0,0.0,Sam,REC_20260831_184100.csv
right,1,modular_paved,1.824,0.9919999999999998,1.0,18956.0,0.9936295937000197,36596.64052887915,789.0625,0.23128691174531155,0.23954612313511242,0.41920571548644675,0.14194457887095757,0.3864035180002946,0.367348050052567,4759.0,3771.9841269841268,4.900000000000006,517.515873015873,0.13719990742104488,0.4032258064516129,0.0,0.4032258064516129,1.2520866517839577,-0.009165786983612367,9244705.078057276,8638856.0,2125811.0,2513099.0,4293757.514044716,1134110.5222874454,970832.9666083421,0.38537560476126864,0.5872404358941951,1.128848864855467,0.02318922477147689,-0.09694459389998322,0.47485646553975214,-0.62,1.0,0.9887060072128208,0.9939299497594855,0.9453822903803492,12.0,0.02804850834269612,0.0032320111194216986,10.717025271203351,3.9769987518223218,0.09824731205420077,0.0833126433395754,0.06568056052349192,0.08106129147642394,0.06827697940118249,0.07766532707724032,0.11584993793001873,0.0664127758958066,0.07608727670587245,0.09269678288130959,0.07553180297515098,0.0991773097397269,4.434848409282073,0.2269003692011264,0.5813279789105134,0.08064516129032258,0.5220892261396926,0.18176494234850618,0.0028909008016246678,653.36666581637,49.71844555217912,0.011313708498984928,2.144993513588703,0.9779516778388473,Sam,REC_20260831_184100.csv
right,2,modular_paved,2.832,0.992,0.0,23531.0,1.379444882718159,37246.75134827197,750.0,0.219837064629207,0.23947151114781173,0.40978530140379854,0.14592278266686176,0.3770772800434792,0.3869837574142205,4844.0,3796.746031746032,-8.900000000000006,535.8174603174604,0.14112544158531742,0.0,-0.4032258064516129,-0.4032258064516129,1.108290057996605,-0.32751696191109625,9791686.002673544,8884424.0,2855184.0,2965139.0,4300852.913690118,1126151.9756595981,1000826.6042365731,0.39849494144984954,0.5841895054299763,1.146508079181955,0.04645761228882561,-0.10947612975662535,0.4724290843094678,0.36,1.0,0.9886718185299669,0.9936318904529103,0.9458081211007915,12.0,0.030629152670019054,0.004344571265469213,21.01670565569801,14.754732189298522,0.09585066577478626,0.07833357720688142,0.06786095027069965,0.07989297435147055,0.06453730220113296,0.07684107109262317,0.11866050711762369,0.0693492756955622,0.07747235519137106,0.09542841614582244,0.07657350697129957,0.09919939798072702,4.9768655584718795,0.3244710668471668,0.6247820066933447,0.0967741935483871,0.47862363092849786,0.21932427127183862,0.0026529477679538044,2419.1665920312307,35.22851369392886,0.009237604307034093,1.6027109312703787,1.824258056994358,Sam,REC_20260831_184100.csv
right,3,modular_paved,3.84,1.008,0.0,18836.0,0.983509848414298,36330.79037125397,520.8333333333334,0.1526646282147271,0.23769633507853402,0.4278534031413613,0.13808638028250886,0.38752377077087885,0.35633009042961894,4775.0,3763.15625,22.19999999999999,502.265625,0.13346924539739746,0.0,-0.7301587301587301,-0.7301587301587301,1.2600444470082866,0.028325509175499697,9101743.983721636,8582656.0,2065946.0,2216219.0,4123887.6210407517,802958.956962093,876832.6050160935,0.3855497387041408,0.5861608886647927,1.0998746065882596,0.03659542058989684,-0.09418385734806445,0.4808342838527693,0.34,1.0,0.988189476532107,0.9934553502000393,0.9436499041599523,12.0,0.028642753211744785,0.003792997554076819,14.093239586734612,9.559476503887595,0.0966318167097101,0.08217420549571919,0.0662342946828211,0.08229046428779034,0.06696506423298262,0.07830029645991979,0.11746290098903016,0.06444058760515192,0.07779374029446691,0.09500004152099717,0.07364579267735694,0.09906079504405378,4.922476987488127,0.23495291480128733,0.5939744346454747,0.06349206349206349,0.5326152371544316,0.17444688314840334,0.0028277311394855477,2676.6910542683104,144.90808918532667,0.009237604307034068,1.298520395720008,1.9060036708290202,Sam,REC_20260831_184100.csv
right,4,modular_paved,4.864,1.024,0.015625,14434.0,0.612283858849741,35288.29813125025,0.0,0.0,0.23508699254349627,0.408036454018227,0.14093645025284884,0.38285074439831673,0.368123746172274,4828.0,3805.8615384615387,19.19999999999999,519.3153846153846,0.13645146555313462,23.0,-0.4444444444444444,22.555555555555557,1.1987368288964884,-0.2543932843319343,8867677.594135119,8236906.0,2514321.0,2113593.0,4166358.8018042715,1154926.4767967116,1000383.0997956102,0.382464170777689,0.579169184150594,1.1663587745215849,0.05493674179684538,-0.1027845257942347,0.4785770717062959,0.32,1.0,0.9873893878834785,0.9937445829998691,0.9401489988093225,12.0,0.027904486469285356,0.0039003546155492418,15.536637280881356,11.84099881457989,0.1000642733273776,0.08136841552099797,0.06789122850986938,0.08189796306102731,0.06596302868854116,0.0779890128991313,0.1153968979024258,0.06599940981724546,0.07563232422861901,0.09385522736184265,0.07493704043560337,0.09900517824731891,4.551026414717771,0.2706460607702655,0.5971190957623201,0.09375,0.4834681840112629,0.20405898416536333,0.0035987074499329997,4549.286354290454,384.33594727838096,0.016,1.3125051891380835,1.6652031676269987,Sam,REC_20260831_184100.csv
right,5,modular_paved,5.904,1.008,0.015873015873015872,17396.0,0.8620729049856378,35705.7095294296,687.5,0.20151730924343975,0.24104509060261273,0.4186683522966709,0.14813483703061098,0.3757632089891354,0.3942238981538766,4746.0,3782.34375,-28.30000000000001,542.640625,0.1434667658115421,13.0,-0.24193548387096775,12.758064516129032,0.9867810430818788,-0.6907729685954078,8734620.284495544,8274780.0,1726305.0,2200336.0,4156897.531138705,1078337.1334754482,787709.346338303,0.37941938253420304,0.5818104431811015,1.1714958483080309,0.031952977001921345,-0.10209089460542975,0.46974752561361305,0.36,1.0,0.9889623151340992,0.9938595542928076,0.9471628376205327,12.0,0.02835902198531012,0.0032966663889566553,16.83901596160908,11.752802924282776,0.09997108274466064,0.08117486677407361,0.06797207419341512,0.07928285206758376,0.06364274796546454,0.07606064361548312,0.11584665592597182,0.07013673730739042,0.07560209856653034,0.09481141818482257,0.07799809972322055,0.09750072293138348,4.053523880600072,0.22285508371537777,0.5403418810872703,0.07936507936507936,0.4462102634524271,0.22597539520849072,0.0023727737507517337,2244.4244993613265,358.6319814909822,0.009237604307034011,1.2019143415675424,0.7333562961806711,Sam,REC_20260831_184100.csv
right,6,modular_paved,6.928,0.976,0.01639344262295082,20617.0,1.1337037346965506,36133.94909223181,417.96875,0.12251336414231849,0.23423609675418647,0.4440769071738681,0.13854747187094646,0.3852465596572544,0.35963324888381865,4837.0,3817.3709677419356,-31.099999999999994,510.7016129032258,0.13378359536414605,6.0,-0.08333333333333333,5.916666666666667,1.2034606119883022,-0.12152308007987234,9205988.965380417,8778133.0,2008524.0,1913229.0,4227602.813327638,885230.8395521838,699225.6577293125,0.38856498788093685,0.5907849697600666,1.07980074109412,0.031237440365846636,-0.09026406694111766,0.46779765742190776,-0.6,1.0,0.9882623036228964,0.9931115517392639,0.9441313769514403,12.0,0.03015909081271492,0.00442483154508776,10.442868024128472,6.442238762746328,0.10134064569011776,0.08275835843787102,0.06564642952209129,0.08152460948888146,0.06480984633065316,0.07895993273533128,0.11571889114700626,0.06450985942867282,0.07719381266451747,0.09274665472352615,0.07403761244227365,0.10075334738905765,4.26074722906542,0.2552403169437414,0.5618130304772274,0.08196721311475409,0.43456542660303604,0.22497753203141704,0.003253756124974802,3092.4039731790112,346.4104551691835,0.024440403706431132,2.3289853756658876,0.9560991165388065,Sam,REC_20260831_184100.csv
right,7,modular_paved,7.92,1.008000000000001,0.0,4795.0,-0.20058468122585318,36593.391397901345,625.0,0.1831975538576725,0.23724963865372703,0.41647739004749124,0.14364293894774866,0.38222411960051067,0.3758081491502454,4843.0,3806.421875,-12.300000000000011,529.0234375,0.13898181937597234,0.0,-0.42857142857142855,-0.42857142857142855,1.1936016166597996,-0.1619878614795458,9061398.212461585,8706051.0,643851.0,2428800.0,4253499.281053079,1109715.3031799863,951612.2518596236,0.39167379742745767,0.5847565854430604,1.1128561518155125,0.07183349098121194,-0.09772957707161689,0.4678850425905153,0.42,1.0,0.9913824322021167,0.994120969798549,0.9581795084273673,12.0,0.029541992332283353,0.003643790923840095,17.899748048789107,8.261358818739282,0.09793892722414012,0.08233618350567093,0.0690609208943767,0.08022626236089503,0.06540755548805267,0.07738977303980527,0.11655056627163798,0.06762830906650356,0.07686434520608676,0.09333732877415224,0.0760146298812451,0.09724519828743365,4.639717231832389,0.328789674407,0.623194480985648,0.1111111111111111,0.46011162724010063,0.2540736945021588,0.002785403107353738,8361.576067544525,141.07638782064447,0.018475208614068223,1.2269537684224736,0.5864558486244369,Sam,REC_20260831_184100.csv
right,8,modular_paved,8.944,1.0079999999999991,0.031746031746031744,14984.0,0.658666024742632,33945.771150468805,407.98611111111114,0.11958729210153622,0.23784686000417274,0.4216565825161694,0.14482119756618117,0.3795190310430244,0.38159139784919976,4793.0,3828.859375,-15.800000000000011,537.1953125,0.14030165641693226,8.0,-0.8032786885245902,7.19672131147541,1.0755485409194292,-0.46834568556259226,9013502.393954251,8553335.0,1424537.0,2460565.0,4169154.9178507244,831308.2820294272,887077.3369374536,0.382979992740477,0.5821965805605184,1.160658975624781,0.048466504093371165,-0.09618679565258736,0.4716328027490216,0.32,1.0,0.9896307435164107,0.9941629771147006,0.9502918474778485,12.0,0.02874580266391809,0.0035183683589370906,9.593165479102552,3.8492806162189908,0.09955641162715724,0.08164964272160034,0.06957032732496216,0.07945414553126542,0.06507323084959211,0.07723824409194971,0.11438213893661216,0.06682391541214543,0.07610376784861679,0.0944757536309361,0.07799728215403576,0.09767513987112676,4.9869446226476235,0.30217472012897445,0.6350402033755004,0.06349206349206349,0.45455937793494083,0.2535429232762885,0.0016661284421844497,8019.58118191551,122.51300579015255,0.018475208614067973,0.4822023537071522,0.3051396841480311,Sam,REC_20260831_184100.csv
right,9,modular_paved,9.968,1.008000000000001,0.9841269841269841,19741.0,1.0598295941107825,35622.34931893179,854.1666666666666,0.2503699902721524,0.23636749416507533,0.4319966051347337,0.14565764348175284,0.38092018456142074,0.3823836314931908,4713.0,3813.09375,-14.300000000000011,538.203125,0.1411460510248404,0.41935483870967744,0.0,0.41935483870967744,1.1225540159672962,-0.31435677557928354,9436093.761610098,8586321.0,2425134.0,3071430.0,4142976.5865437817,1014302.9038175504,1136668.739353518,0.3723439731063982,0.5808642428064578,1.1722764487494775,0.028360922713434045,-0.09620984085614115,0.4729156334131914,-0.64,1.0,0.992869418730501,0.994717030889872,0.9650466842319698,12.0,0.02835267307078408,0.0032803223339645813,5.014679020226238,5.75639689794734,0.09795195830157598,0.08477368278710692,0.07140691203828912,0.07817634958490072,0.06597742974454798,0.07676673304977094,0.11228169383456675,0.06683795146657488,0.0752259893950942,0.09491964366205263,0.07881969201517797,0.09686196412034191,4.542003860292197,0.22734387601123246,0.5697850798018802,0.07936507936507936,0.5126409848141318,0.21029169728243247,0.0019971330132316093,7635.74582692047,223.1178601986159,1.041481514324134e-15,1.1100218042609504,1.0388684557614438,Sam,REC_20260831_184100.csv
