surface,sole_id,foot,step_idx,stance_dur_samp,stance_dur_ms,H_spatial,cv_spatial,evenness_score,unevenness_score,total_pressure_ms,forefoot_rel,midfoot_rel,hindfoot_rel
Brick,1,RIGHT,0,39,156,3.562638235512431,0.17772095625924672,0.9937728037031812,0.006227196296818782,4683.307692307693,0.9439745084832427,1.0806957607211065,1.0313552223113824
Brick,1,RIGHT,1,54,216,3.545493027255487,0.23462545547699593,0.9889902688081872,0.01100973119181281,4644.999999999999,0.8632460232027434,1.0419806243269645,1.2315273292665163
Brick,1,RIGHT,2,56,224,3.5411040156885703,0.24626884259081808,0.9877659849932146,0.012234015006785448,4540.157894736842,0.837763583459663,1.0898763084981413,1.234596524581476
Brick,1,RIGHT,3,59,236,3.5309083151096763,0.27485038722964183,0.9849219662407609,0.015078033759239107,4297.2,0.8297263334261856,1.0528716373449543,1.287675695801558
Brick,1,RIGHT,4,44,176,3.5570843740861866,0.19835385148721998,0.9922235932372064,0.007776406762793564,4662.799999999999,0.9098681764888569,1.0847845357579207,1.0954791112633369
Brick,1,RIGHT,5,46,184,3.5605974970929255,0.18394462672894893,0.9932035541171409,0.0067964458828591034,4763.533333333333,0.9144192686099051,1.0499769078972347,1.1211845548819481
Brick,1,RIGHT,6,43,172,3.5612989451423442,0.1819254128202309,0.993399218102267,0.006600781897733055,4698.499999999999,0.916645129904447,1.0814393651466556,1.08527037504343
Brick,1,RIGHT,7,44,176,3.562874295394351,0.17587865711047646,0.9938386509419941,0.006161349058005916,4676.4,0.9565477717900206,1.0664043566273318,1.0205000997916007
Brick,1,RIGHT,8,58,232,3.5288578374897597,0.27893608758115385,0.9843499999734696,0.015650000026530386,4364.473684210526,0.8286765149228956,1.0480795899906676,1.294567380162442
Brick,1,RIGHT,9,50,200,3.54991325588398,0.22173637165147939,0.9902232604022704,0.009776739597729622,4658.764705882352,0.8898597204507868,1.0643568731925692,1.1559236859048274
Brick,1,RIGHT,10,41,164,3.5554563377494146,0.20270401986915096,0.9917694639858001,0.008230536014199874,4594.571428571428,0.9162987376404548,1.0687768173618253,1.098625707356221
Brick,1,RIGHT,11,47,188,3.5503465526763565,0.21991320102549464,0.9903441254858771,0.009655874514122864,4667.5,0.8840653454737952,1.0324584895551712,1.19941081949621
Brick,1,RIGHT,12,44,176,3.557624436237569,0.19634640746609755,0.9923742397645476,0.007625760235452361,4653.333333333333,0.9131805157590768,1.0577650429796701,1.115873925501145
Brick,1,RIGHT,13,56,224,3.536579634354228,0.26005665375968817,0.9865039407365641,0.013496059263435889,4473.842105263158,0.8311236074018686,1.085702857545913,1.2520499276492765
Brick,1,RIGHT,14,53,212,3.5389898759796967,0.25167565511938883,0.9871762606353033,0.012823739364696718,4625.666666666667,0.8443467608270492,1.069155196848225,1.2421512814966393
Brick,1,RIGHT,15,62,248,3.5326064331977056,0.2700920262740295,0.9853956443022993,0.014604355697700688,4266.571428571428,0.8339695082477174,1.0782829973880315,1.253777986115409
Brick,1,RIGHT,16,61,244,3.524991999557294,0.289116529902524,0.9832716517531778,0.016728348246822233,4283.4,0.8133725545125423,1.0840453845073306,1.2892095064664644
Brick,1,RIGHT,17,63,252,3.5287584656243673,0.2801808749329327,0.9843222808926223,0.015677719107377697,4250.761904761905,0.8249949588866894,1.0614119597604155,1.2885981224650767
Brick,1,RIGHT,18,59,236,3.534559725422307,0.26508262081233286,0.985940501389147,0.014059498610852983,4403.95,0.8441285664003877,1.0575960217529106,1.2541468454452243
Brick,1,RIGHT,19,61,244,3.529695108531502,0.27840442487362693,0.9845835508241616,0.015416449175838398,4195.75,0.8318655782634814,1.0684144670198936,1.267854376452
Brick,1,RIGHT,20,62,248,3.5372790484342422,0.25758704317683717,0.9866990373602732,0.013300962639726799,4243.571428571428,0.849688604611778,1.0647814621553406,1.2358413286199728
Brick,1,RIGHT,21,59,236,3.5393211343256734,0.2529891687165449,0.9872686628141015,0.012731337185898473,4387.35,0.8499207950127025,1.0545317788639463,1.245626631109555
Brick,1,RIGHT,22,64,256,3.5336526692280543,0.26735586561549557,0.9856874844624511,0.014312515537548864,4260.0,0.8424323720095995,1.0710038005809637,1.2441314553987106
Brick,2,LEFT,0,22,88,3.5138112699264052,0.2987798163302477,0.9801528660954089,0.01984713390459114,5190.142857142857,1.20233409484985,1.0337177616908788,0.5616140486084964
Brick,2,LEFT,1,49,196,3.5400767855197532,0.2470546326392035,0.987479446384063,0.012520553615936958,4992.625,1.0257880373548522,1.082496682606585,0.8659272426827492
Brick,2,LEFT,2,48,192,3.542747996702394,0.2402805756387556,0.988224561899805,0.01177543810019499,5021.625,1.0197396261168001,1.0865506683590862,0.8739700794063578
