foot,step_id,contact_time_sec,peak_time_sec,walk_time_s,contact_pressure,peak_pressure,pressure_rise,time_to_peak_sec,loading_rate,n_sensors,contact_timestamp,lat,lon
left,1,4.16,4.208,0.608,142.5,203.0,60.5,0.04800000000000004,931.2499999999991,2,1777057751104,42.336983447894454,-71.0906058177352
left,2,5.32,5.376,1.768,143.5,200.5,57.0,0.05600000000000005,768.7499999999993,2,1777057752264,42.33698948286474,-71.09060657210648
left,3,6.456,6.552,2.904,139.0,207.5,68.5,0.0959999999999992,531.2500000000039,2,1777057753400,42.336997697129846,-71.0906142834574
left,4,7.632,7.68,4.08,157.5,223.5,66.0,0.04800000000000004,1099.999999999999,2,1777057754576,42.33700222335756,-71.090650241822
left,5,8.944,9.048,5.392,144.5,202.5,58.0,0.1039999999999992,708.5937499999998,2,1777057755888,42.337009347975254,-71.0906639881432
left,6,10.224,10.288,6.672,149.0,203.5,54.5,0.06400000000000006,630.2083333333327,2,1777057757168,42.337013958022,-71.0906763933599
left,7,11.608,11.672,8.056,143.5,210.0,66.5,0.06400000000000006,880.2083333333326,2,1777057758552,42.337026530876756,-71.0907036345452
left,8,12.624,12.672,9.072,150.0,216.5,66.5,0.04800000000000004,1331.2499999999986,2,1777057759568,42.33702829107642,-71.09071796759963
left,9,13.776,13.832,10.224,148.0,205.0,57.0,0.05600000000000005,778.1249999999993,2,1777057760720,42.33703097328544,-71.09073355793953
left,10,16.072,16.184,12.52,148.5,371.0,222.5,0.1120000000000001,1962.4999999999982,2,1777057763016,42.33703734353185,-71.09078108333051
left,11,16.968,17.024,13.416,141.5,210.5,69.0,0.05600000000000094,1059.3749999999827,2,1777057763912,42.3370364215225,-71.09080337919295
left,12,18.064,18.104,14.512,155.5,217.0,61.5,0.03999999999999915,1078.1250000000164,2,1777057765008,42.33703809790313,-71.0908228252083
left,13,19.136000000000003,19.168,15.584,162.5,226.5,64.0,0.03199999999999825,1729.166666666773,2,1777057766080,42.33704237267375,-71.09084093011916
left,14,20.256,20.296,16.704,151.0,209.5,58.5,0.03999999999999915,1031.2500000000164,2,1777057767200,42.33704539015889,-71.09085367061198
left,15,21.312,21.36,17.76,145.5,203.5,58.0,0.047999999999998266,925.000000000042,2,1777057768256,42.33705058693886,-71.0908648185432
left,16,22.456,22.576,18.904,159.5,225.5,66.0,0.11999999999999922,443.750000000001,2,1777057769400,42.33705259859562,-71.09087638556957
left,17,23.52,23.568,19.968,154.0,210.5,56.5,0.04800000000000182,956.2499999999502,2,1777057770464,42.337058885023,-71.0908872820437
left,18,24.631999999999998,24.672,21.08,151.0,205.5,54.5,0.040000000000000924,1015.6249999999749,2,1777057771576,42.33707229606807,-71.09090832062066
left,19,25.728,25.768,22.176,141.0,213.5,72.5,0.040000000000000924,1723.9583333332916,2,1777057772672,42.33707891777158,-71.09092273749411
left,20,26.832,26.92,23.28,154.0,226.0,72.0,0.08799999999999919,634.114583333337,2,1777057773776,42.33708629384637,-71.09093732200563
left,21,27.896,28.008000000000003,24.344,145.5,217.0,71.5,0.1120000000000001,865.9722222222034,2,1777057774840,42.337094927206635,-71.09095425345004
left,22,28.984,29.032,25.432,143.5,210.5,67.0,0.04800000000000004,962.4999999999997,2,1777057775928,42.337103141471744,-71.09097495675087
left,23,30.072,30.104,26.52,164.0,176.5,12.5,0.03200000000000003,406.24999999998226,2,1777057777016,42.33710783533752,-71.09099448658526
left,24,31.144,31.2,27.592,146.0,204.5,58.5,0.05599999999999916,806.2500000000144,2,1777057778088,42.33711403794587,-71.09101317822933
left,25,34.384,34.432,30.832,153.0,221.0,68.0,0.04800000000000537,1274.9999999997722,2,1777057781328,42.33713272958994,-71.0910630505532
left,26,35.488,35.608000000000004,31.936,160.5,228.5,68.0,0.120000000000001,746.8749999999587,2,1777057782432,42.33714245259762,-71.09107646159828
left,27,36.584,36.632000000000005,33.032,156.0,218.5,62.5,0.04800000000000182,981.2499999999321,2,1777057783528,42.337162820622325,-71.09109682962298
left,28,37.696,37.751999999999995,34.144,153.5,216.0,62.5,0.055999999999997385,1002.6041666666773,2,1777057784640,42.33714781701565,-71.09112574718893
left,29,38.8,38.848,35.248,151.0,212.0,61.0,0.047999999999998266,962.5000000000427,2,1777057785744,42.33715779148042,-71.09113186597824
left,30,39.928,39.992,36.376,152.5,217.0,64.5,0.0639999999999965,1007.8125000000034,2,1777057786872,42.337158378213644,-71.09114963561296
left,31,41.232,41.336,37.68,143.0,242.5,99.5,0.10400000000000276,971.7261904761618,2,1777057788176,42.337172040715814,-71.09115969389677
left,32,42.088,42.176,38.536,147.5,209.5,62.0,0.08799999999999741,491.31944444445776,2,1777057789032,42.3371812608093,-71.09116765670478
left,33,43.367999999999995,43.416,39.816,150.0,228.5,78.5,0.04800000000000182,1562.499999999924,2,1777057790312,42.33718788251281,-71.09117369167507
left,34,44.495999999999995,44.6,40.944,140.0,353.0,213.0,0.10400000000000276,1971.0937499999436,2,1777057791440,42.337194085121155,-71.09118073247373
left,35,45.448,45.519999999999996,41.896,144.5,217.5,73.0,0.07199999999999918,816.4062500000305,2,1777057792392,42.33719986863434,-71.09118827618659
left,36,46.544,46.64,42.992,153.5,235.0,81.5,0.09599999999999653,848.958333333364,2,1777057793488,42.33721227385104,-71.0911941435188
left,37,47.672,47.775999999999996,44.12,144.0,209.5,65.5,0.1039999999999992,489.583333333337,2,1777057794616,42.337219063192606,-71.09121887013316
left,38,50.152,50.272,46.6,146.5,378.0,231.5,0.120000000000001,1815.624999999991,2,1777057797096,42.337225349619985,-71.09122389927506
left,39,51.096000000000004,51.144,47.544,152.5,211.0,58.5,0.047999999999998266,976.562500000013,2,1777057798040,42.337228031829,-71.09122247435153
left,40,52.2,52.24,48.648,153.0,221.0,68.0,0.0400000000000027,1179.6874999999468,2,1777057799144,42.33723163604736,-71.09121937304735
left,41,53.29600000000001,53.384,49.744,147.5,210.5,63.0,0.08799999999999741,940.8482142857162,2,1777057800240,42.33723398298025,-71.09121979214251
left,42,55.68,55.816,52.128,145.5,382.5,237.0,0.13599999999999923,1947.321428571411,2,1777057802624,42.33725594356656,-71.09119825065136
left,43,57.824,57.88,54.272,150.5,209.0,58.5,0.05600000000000449,787.4999999999427,2,1777057804768,42.337272791191936,-71.09119665808976
left,44,58.8,58.864000000000004,55.248,149.0,209.5,60.5,0.06400000000000006,945.3124999999991,2,1777057805744,42.33728377148509,-71.09119489789009
left,45,59.872,59.952,56.32,143.5,210.5,67.0,0.0799999999999983,726.5625000000231,2,1777057806816,42.33730338513851,-71.09119162894785
left,46,60.984,61.024,57.432,147.5,209.0,61.5,0.03999999999999915,1125.0000000000232,2,1777057807928,42.33732341788709,-71.09118425287306
left,47,62.111999999999995,62.192,58.56,138.5,212.0,73.5,0.08000000000000185,789.0624999999727,2,1777057809056,42.337339678779244,-71.09117629006505
left,48,63.16,63.216,59.608,137.5,206.5,69.0,0.05600000000000094,937.5000000000033,2,1777057810104,42.33735468238592,-71.09116254374385
left,49,64.288,64.352,60.736,148.5,209.0,60.5,0.06400000000000716,723.9583333332642,2,1777057811232,42.3373749665916,-71.09115273691714
left,50,65.576,65.672,62.024,154.0,360.0,206.0,0.09599999999999653,2050.781250000096,2,1777057812520,42.33740656636655,-71.09111367724836
left,51,66.68,66.816,63.128,150.0,302.5,152.5,0.13600000000000279,1141.9270833333176,2,1777057813624,42.3374214861542,-71.09108668752015
left,52,67.672,67.728,64.12,146.0,212.0,66.0,0.055999999999997385,890.6250000000286,2,1777057814616,42.3374436981976,-71.09105517156422
left,53,68.776,68.848,65.224,142.5,208.0,65.5,0.07200000000000273,832.8125000000084,2,1777057815720,42.33746155165136,-71.09105743467808
left,54,69.88,69.944,66.328,148.5,210.0,61.5,0.06400000000000716,734.3749999999305,2,1777057816824,42.33747764490545,-71.09105282463133
left,55,71.176,71.28,67.624,153.0,361.0,208.0,0.1039999999999992,1960.9374999999586,2,1777057818120,42.33749323524535,-71.0910408385098
left,56,72.256,72.416,68.704,150.0,348.0,198.0,0.1600000000000108,1237.4999999999163,2,1777057819200,42.33751008287072,-71.09103069640696
left,57,73.19200000000001,73.29599999999999,69.64,146.0,233.0,87.0,0.1039999999999992,908.3333333333219,2,1777057820136,42.337526343762875,-71.0910215601325
left,58,74.312,74.40799999999999,70.76,144.0,229.0,85.0,0.09599999999999653,982.1428571428831,2,1777057821256,42.33754168264568,-71.09100982546806
left,59,75.424,75.50399999999999,71.872,141.0,228.5,87.5,0.0799999999999983,1093.7500000000234,2,1777057822368,42.33755651861429,-71.09100689180195
left,60,76.536,76.592,72.984,141.0,207.0,66.0,0.055999999999997385,890.6250000000286,2,1777057823480,42.33757026493549,-71.09100705944002
left,61,77.672,77.80799999999999,74.12,145.5,215.0,69.5,0.13600000000000279,486.97916666664963,2,1777057824616,42.33759758993983,-71.09101418405771
left,62,78.776,78.848,75.224,138.5,233.0,94.5,0.07200000000000273,1271.8749999999668,2,1777057825720,42.33761938288808,-71.09100957401097
left,63,81.032,81.12,77.48,146.0,226.0,80.0,0.08800000000000097,951.0416666666724,2,1777057827976,42.337666070088744,-71.09101108275354
left,64,82.19200000000001,82.31200000000001,78.64,150.0,211.0,61.0,0.12000000000000455,737.5000000000135,2,1777057829136,42.33768526464701,-71.091014938429
left,65,83.29599999999999,83.344,79.744,155.5,223.0,67.5,0.047999999999994714,1132.8125000001248,2,1777057830240,42.33770169317722,-71.09101787209511
left,66,84.616,84.72,81.064,150.0,213.5,63.5,0.1039999999999992,447.9166666666719,2,1777057831560,42.3377391602844,-71.09104595147073
left,67,85.584,85.672,82.032,145.5,207.5,62.0,0.08799999999999386,931.9196428572424,2,1777057832528,42.337770257145166,-71.09104729257524
left,68,86.72,86.824,83.168,150.5,217.5,67.0,0.1039999999999992,462.50000000000614,2,1777057833664,42.3377891164273,-71.09107562340796
left,69,87.856,87.936,84.304,150.0,218.0,68.0,0.0799999999999983,760.416666666661,2,1777057834800,42.33777486719191,-71.09109984710813
left,70,89.128,89.19200000000001,85.576,147.5,209.5,62.0,0.06400000000000006,808.3333333333456,2,1777057836072,42.33777042478323,-71.09113538637757
left,71,90.104,90.152,86.552,145.0,220.0,75.0,0.04800000000000182,1337.4999999998508,2,1777057837048,42.33776296488941,-71.09115784987807
left,72,92.45599999999999,92.512,88.904,142.5,217.0,74.5,0.05600000000000449,1184.3749999998754,2,1777057839400,42.33777344226837,-71.09117637388408
left,73,93.56800000000001,93.672,90.016,139.0,216.5,77.5,0.1039999999999921,1046.006944444553,2,1777057840512,42.337765730917454,-71.09117075800896
left,74,94.712,94.768,91.16,163.5,223.5,60.0,0.055999999999997385,1003.1250000000589,2,1777057841656,42.337764389812946,-71.09116472303867
left,75,95.88,95.936,92.328,148.5,213.5,65.0,0.056000000000011596,878.1249999998433,2,1777057842824,42.33776229433715,-71.09115944243968
left,76,97.08,97.184,93.528,137.5,228.0,90.5,0.1039999999999992,1016.4062500000175,2,1777057844024,42.3377650603652,-71.09114913269877
left,77,98.216,98.312,94.664,142.5,206.5,64.0,0.09600000000000364,499.99999999998107,2,1777057845160,42.33776816166937,-71.0911446902901
left,78,99.344,99.392,95.792,156.0,213.5,57.5,0.047999999999994714,843.7500000001013,2,1777057846288,42.33777235262096,-71.09114049933851
left,79,100.464,100.59200000000001,96.912,143.0,212.5,69.5,0.12800000000000722,680.2083333333056,2,1777057847408,42.33778199180961,-71.0911407507956
left,80,101.624,101.688,98.072,146.5,212.5,66.0,0.06400000000000716,749.9999999999438,2,1777057848568,42.33780772425234,-71.09114209190011
left,81,102.78399999999999,102.84,99.232,143.0,209.5,66.5,0.055999999999997385,901.0416666667805,2,1777057849728,42.33782649971545,-71.09114066697657
left,82,103.888,103.936,100.336,143.0,210.5,67.5,0.048000000000008924,993.7499999998113,2,1777057850832,42.33784183859825,-71.09113907441497
left,83,105.0,105.056,101.448,150.5,210.5,60.0,0.055999999999997385,834.3750000000302,2,1777057851944,42.337860530242324,-71.09115164726973
left,84,106.104,106.208,102.552,147.5,211.5,64.0,0.1039999999999992,776.5625000000157,2,1777057853048,42.33787938952446,-71.09114846214652
left,85,107.232,107.32,103.68,160.0,226.5,66.5,0.08800000000000097,985.4910714286664,2,1777057854176,42.33790805563331,-71.09113505110145
left,86,108.29599999999999,108.368,104.744,157.5,230.5,73.0,0.07199999999999562,953.1250000000384,2,1777057855240,42.33793546445668,-71.09113505110145
left,87,109.424,109.568,105.872,154.0,228.5,74.5,0.14399999999999835,564.843750000001,2,1777057856368,42.33795457519591,-71.09113119542599
left,88,110.576,110.72,107.024,146.0,220.0,74.0,0.14399999999999835,475.7812500000087,2,1777057857520,42.338007129728794,-71.09113438054919
left,89,111.696,111.792,108.144,139.5,220.0,80.5,0.09599999999999653,607.6388888889186,2,1777057858640,42.3380293417722,-71.09113781712949
left,90,112.864,112.92,109.312,134.0,206.0,72.0,0.055999999999997385,1003.1250000000366,2,1777057859808,42.338052140548825,-71.09114686958492
left,91,114.152,114.256,110.6,150.5,342.5,192.0,0.1039999999999992,1743.750000000013,2,1777057861096,42.33807527460158,-71.09114527702332
left,92,115.072,115.128,111.52,146.0,209.0,63.0,0.055999999999997385,890.6250000000343,2,1777057862016,42.33809773810208,-71.0911494679749
left,93,116.2,116.24,112.648,143.0,209.5,66.5,0.03999999999999204,1203.1250000002296,2,1777057863144,42.33810377307236,-71.09114519320428
left,94,117.328,117.416,113.776,149.0,215.0,66.0,0.08800000000000097,817.7083333333485,2,1777057864272,42.33811383135617,-71.09114569611847
left,95,118.392,118.45599999999999,114.84,139.5,208.0,68.5,0.06400000000000006,776.0416666666512,2,1777057865336,42.33812749385834,-71.09115223400295
left,96,119.488,119.608,115.936,145.5,212.5,67.0,0.12000000000000455,809.3750000000147,2,1777057866432,42.338149789720774,-71.09115784987807
left,97,120.6,120.688,117.048,143.5,225.0,81.5,0.08800000000000807,1578.124999999577,2,1777057867544,42.338194381445646,-71.09117989428341
left,98,121.72,121.792,118.168,147.0,227.0,80.0,0.07200000000000273,1079.68749999997,2,1777057868664,42.33821994625032,-71.09119003638625
left,99,122.896,122.99199999999999,119.344,140.5,217.5,77.0,0.09599999999999653,556.2500000000201,2,1777057869840,42.338244672864676,-71.09119766391814
left,100,124.16,124.27199999999999,120.608,152.0,310.0,158.0,0.11200000000000188,1498.43750000005,2,1777057871104,42.338265627622604,-71.09120755456388
left,101,125.168,125.22399999999999,121.616,160.5,218.0,57.5,0.055999999999997385,919.2708333334223,2,1777057872112,42.3382867500186,-71.09122046269476
left,102,126.29599999999999,126.352,122.744,137.0,201.5,64.5,0.05600000000000449,871.8749999999798,2,1777057873240,42.338311057537794,-71.09123169444501
left,103,127.432,127.488,123.88,143.5,210.5,67.0,0.055999999999997385,950.000000000037,2,1777057874376,42.33832689933479,-71.09123513102531
left,104,128.552,128.60000000000002,125.0,140.5,223.5,83.0,0.04800000000001603,1624.9999999994573,2,1777057875496,42.33833561651409,-71.0912414174527
left,105,129.704,129.816,126.152,154.5,234.0,79.5,0.11200000000000898,1017.1874999997136,2,1777057876648,42.33837543055415,-71.09125013463199
left,106,130.8,130.848,127.248,145.5,206.5,61.0,0.04800000000001603,937.4999999996203,2,1777057877744,42.338400995358825,-71.09124795533717
left,107,131.95999999999998,132.04000000000002,128.408,145.5,212.0,66.5,0.0800000000000125,716.1458333332853,2,1777057878904,42.338414657860994,-71.09125616960227
left,108,133.064,133.176,129.512,149.5,222.5,73.0,0.11199999999999477,517.18750000002,2,1777057880008,42.33843888156116,-71.0912720952183
left,109,134.216,134.336,130.664,150.0,218.0,68.0,0.12000000000000455,456.24999999999864,2,1777057881160,42.3384453356266,-71.09128039330244
left,110,135.296,135.416,131.744,161.0,247.5,86.5,0.12000000000000455,896.8749999998925,2,1777057882240,42.33844466507435,-71.09128617681563
left,111,136.45600000000002,136.512,132.904,145.5,213.5,68.0,0.055999999999997385,838.5416666667275,2,1777057883400,42.338450867682695,-71.09129648655653
