step,ground_type,predicted_ground_type,contact_time_sec,midstance_time_sec,loading_rate,midstance_pressure
35,Grass,Grass,46.072,46.072,709.8214285714696,2357.0
32,Brick,Brick,46.328,46.328,1484.375000000023,2136.0
36,Concrete,Concrete,46.632,46.632,1087.2564935064781,2325.0
36,Grass,Grass,47.224,47.224,1656.2499999999563,2043.0
33,Brick,Brick,47.4,47.4,1555.2083333332516,2397.0
37,Concrete,Concrete,47.736,47.736,1478.1249999999181,2252.0
37,Grass,Grass,48.328,48.328,1379.6874999999884,2116.0
34,Brick,Brick,48.52,48.52,1212.7976190476684,2231.0
38,Concrete,Concrete,48.824,48.824,1201.6369047618718,2431.0
38,Grass,Grass,49.464,49.464,1862.5000000000396,2124.0
35,Brick,Brick,49.608,49.608,1396.577380952344,2211.0
39,Concrete,Concrete,49.912,49.912,2117.187499999998,2373.0
39,Grass,Grass,50.616,50.616,1706.2500000000364,2257.0
36,Brick,Brick,50.696,50.696,1277.5297619047274,2209.0
40,Concrete,Concrete,51.032,51.032,2335.9374999999563,2175.0
37,Brick,Brick,51.768,51.768,1041.6666666666786,2327.0
40,Grass,Grass,51.8,51.8,1799.9999999998786,2083.0
41,Concrete,Concrete,52.104,52.104,1581.2500000000337,2426.0
38,Brick,Brick,52.856,52.856,1737.500000000037,2356.0
41,Grass,Grass,52.936,52.936,1210.416666666704,2179.0
42,Concrete,Concrete,53.208,53.208,1428.1250000000387,2430.0
39,Brick,Brick,53.928,53.928,1628.1249999999088,2404.0
42,Grass,Grass,54.072,54.072,2781.2500000002256,2288.0
43,Concrete,Concrete,54.328,54.328,1333.3333333333376,2463.0
40,Brick,Brick,55.032,55.032,1051.5422077921924,2071.0
44,Concrete,Concrete,55.464,55.464,1428.1249999999281,2349.0
41,Brick,Brick,56.072,56.072,1294.6428571428826,2395.0
45,Concrete,Concrete,56.6,56.6,1714.2857142856633,2160.0
42,Brick,Brick,57.16,57.16,1146.0937499999452,2334.0
46,Concrete,Concrete,57.688,57.688,1425.223214285744,2465.0
43,Brick,Brick,58.248,58.248,1221.022727272743,2370.0
47,Concrete,Concrete,58.808,58.808,1753.1249999999957,2291.0
44,Brick,Brick,59.384,59.384,1464.583333333373,2185.0
48,Concrete,Concrete,59.912,59.912,1941.6666666666003,2269.0
45,Brick,Brick,60.472,60.472,1489.2857142857283,2386.0
49,Concrete,Concrete,60.984,60.984,1338.5416666666954,2291.0
44,Grass,Grass,61.424,61.424,1086.4583333333135,2169.0
46,Brick,Brick,61.544,61.544,1103.9772727272875,2471.0
50,Concrete,Concrete,62.088,62.088,1199.2187500000261,2175.0
45,Grass,Grass,62.64,62.64,1606.250000000034,2127.0
47,Brick,Brick,62.664,62.664,1552.3437500000214,2173.0
51,Concrete,Concrete,63.192,63.192,1411.4583333333717,2370.0
48,Brick,Brick,63.768,63.768,1487.5000000000077,2062.0
46,Grass,Grass,63.808,63.808,1828.1249999999984,2132.0
52,Concrete,Concrete,64.312,64.312,1693.7500000000362,2222.0
49,Brick,Brick,64.856,64.856,1514.8437499998354,2250.0
